"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","ai","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","clt_max","clt_mean","clt_min","clt_range","cmi_max","cmi_mean","cmi_min","cmi_range","fcf","fgd","gdd0","gdd10","gdd5","gddlgd0","gddlgd10","gddlgd5","gdgfgd0","gdgfgd10","gdgfgd5","gsl","gsp","gst","hurs_max","hurs_mean","hurs_min","hurs_range","kg0","kg1","kg2","kg3","kg4","kg5","lgd","ngd0","ngd10","ngd5","npp","pet_penman_max","pet_penman_mean","pet_penman_min","pet_penman_range","rsds_19812010_max_V21","rsds_19812010_mean_V21","rsds_19812010_min_V21","rsds_19812010_range_V21","scd","sfcWind_max","sfcWind_mean","sfcWind_min","sfcWind_range","swb","swe","vpd_max","vpd_mean","vpd_min","vpd_range","geometry","MAT","MAP"
"1",1,"726_1_BK","Euphorbia grandidens","EUPHORBIACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",1,1000,500,500,196349.5408,"2","N","1.360609795","42.02669126","30.8881293","7.547038941","-15.20076096",0.33111435174942,2906,2950,2857,4531,513,214,255,1406,751,1299,803,126,5.46000003814697,3593,3026,2795,231,2923,2864,3326,2701,2220,1106,-216,-655,-1272,1056,NA,8,63541,27041,45291,NA,NA,NA,NA,NA,NA,121,4531,2896,5788,5587,5307,481,7,7,7,4,9,27,10,365,365,365,7552,16852,10124,4235,12617,26517,17179,8205,18312,0,2859,2691,2375,484,-787,NA,11702,8935,6634,5068,c(24.04194, -33.55142),17.45,453.1
"2",2,"726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",10,95,105,58,4783.074815,"4","N","0.555052701","43.30490031","78.01943891","4.090359897","-14.60902325",0.33111435174942,2906,2950,2857,4531,513,214,255,1406,751,1299,803,126,5.46000003814697,3593,3026,2795,231,2923,2864,3326,2701,2220,1106,-216,-655,-1272,1056,NA,8,63541,27041,45291,NA,NA,NA,NA,NA,NA,121,4531,2896,5788,5587,5307,481,7,7,7,4,9,27,10,365,365,365,7552,16852,10124,4235,12617,26517,17179,8205,18312,0,2859,2691,2375,484,-787,NA,11702,8935,6634,5068,c(24.04194, -33.55142),17.45,453.1
"3",3,"726_11_BK","Senecio ficoides","ASTERACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",11,112,115,95,8580.474935,"1","N","0.563865044","42.86770566","76.02476185","1.922860135","-23.93547245",0.330346316099167,2906,2951,2858,4527,512,214,255,1405,750,1301,802,126,5.48000001907349,3618,3026,2796,230,2924,2865,3326,2701,2220,1106,-222,-661,-1271,1050,NA,8,63723,27223,45473,NA,NA,NA,NA,NA,NA,121,4527,2897,5781,5583,5307,474,7,7,7,4,9,27,10,365,365,365,7546,16848,10174,4284,12564,26589,17381,8473,18116,0,2795,2627,2319,476,-793,NA,11751,8974,6657,5094,c(24.04128, -33.55094),17.45,452.7
"4",4,"726_12_BK","Rhoicissus digitata","VITACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",12,220,300,350,82466.80716,"4","B","0.868317601","46.66187406","53.73825659","4.111829953","-26.24295706",0.330346316099167,2906,2951,2858,4527,512,214,255,1405,750,1301,802,126,5.48000001907349,3618,3026,2796,230,2924,2865,3326,2701,2220,1106,-222,-661,-1271,1050,NA,8,63723,27223,45473,NA,NA,NA,NA,NA,NA,121,4527,2897,5781,5583,5307,474,7,7,7,4,9,27,10,365,365,365,7546,16848,10174,4284,12564,26589,17381,8473,18116,0,2795,2627,2319,476,-793,NA,11751,8974,6657,5094,c(24.04128, -33.55094),17.45,452.7
"5",5,"726_13_BK","Indigofera denudata","FABACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",13,120,58,50,2277.654674,"4","L","1.329070372","47.45361796","35.70436822","-0.642811578","-26.79959994",0.330346316099167,2906,2951,2858,4527,512,214,255,1405,750,1301,802,126,5.48000001907349,3618,3026,2796,230,2924,2865,3326,2701,2220,1106,-222,-661,-1271,1050,NA,8,63723,27223,45473,NA,NA,NA,NA,NA,NA,121,4527,2897,5781,5583,5307,474,7,7,7,4,9,27,10,365,365,365,7546,16848,10174,4284,12564,26589,17381,8473,18116,0,2795,2627,2319,476,-793,NA,11751,8974,6657,5094,c(24.04128, -33.55094),17.45,452.7
"6",6,"726_14_BK","Hermannia involucrata","MALVACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",14,138,20,15,235.619449,"4","N","1.062293193","45.21468974","42.56328672","-0.750161859","-27.32699714",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"7",7,"726_15_BK","Pentaschistis eriostoma","POACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",15,45,70,60,3298.672286,"0","S","0.554483603","44.07813334","79.49402494","0.592692564","-24.28252125",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"8",8,"726_16_BK","Osteospermum polygaloides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",16,140,15,17,200.2765317,"2","N","NA","NA","NA","NA","NA",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"9",9,"726_17_BK","Lobelia coronopifolia","CAMPANULACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",17,23,40,30,942.4777961,"4","B","0.806681642","40.27147963","49.92239507","0.835694563","-26.17471712",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"10",10,"726_18_BK","Aristea pusilla","IRIDACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",18,9,9,6,42.41150082,"0","N","0.968464282","43.79275539","45.21876148","0.501932781","-25.37241047",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"11",11,"726_19_BK","Helichrysum nudifolium","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",19,10,16,13,163.362818,"0","L","1.192633479","36.12921812","30.29364742","0.288208131","-27.49077298",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"12",12,"726_2_BK","Panicum maximum","POACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",2,60,90,80,5654.866776,"1","B","1.950331153","40.93216578","20.98729014","7.03566124","-13.94417132",0.33111435174942,2906,2950,2857,4531,513,214,255,1406,751,1299,803,126,5.46000003814697,3593,3026,2795,231,2923,2864,3326,2701,2220,1106,-216,-655,-1272,1056,NA,8,63541,27041,45291,NA,NA,NA,NA,NA,NA,121,4531,2896,5788,5587,5307,481,7,7,7,4,9,27,10,365,365,365,7552,16852,10124,4235,12617,26517,17179,8205,18312,0,2859,2691,2375,484,-787,NA,11702,8935,6634,5068,c(24.04194, -33.55142),17.45,453.1
"13",13,"726_20_BK","Gazania krebsiana","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",20,10,15,15,176.7145868,"0","B","1.152112837","39.15060627","33.98157283","-0.432990574","-29.5555184",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"14",14,"726_21_BK","Aspalathus kougaensis","FABACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",21,114,71,58,3234.269637,"4","B","0.702815589","48.26211874","68.66967599","-1.508445206","-25.31294425",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"15",15,"726_22_BK","Euchaetis vallis-simiae","RUTACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",22,55,30,32,753.9822369,"4","B","0.478154402","47.03868011","98.37550356","0.792754451","-25.54008574",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"16",16,"726_23_BK","Selago glomerata","SCROPHULARIACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",23,110,80,55,3455.751919,"4","S","0.618964496","46.70272938","75.45300208","0.101809007","-26.99554604",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"17",17,"726_24_BK","Disparago ericoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",24,80,45,40,1413.716694,"4","B","0.502432372","45.91124296","91.37795547","-0.020179949","-26.3999089",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"18",18,"726_25_BK","Asparagus africanus","ASPARAGACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",25,16,36,37,1046.150354,"1","B","0.693874474","47.05386705","67.81322671","1.964824336","-25.61319995",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"19",19,"726_26_BK","Aspalathus collina","FABACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",26,70,80,50,3141.592654,"4","S","0.703466845","47.18131989","67.0697137","-1.26739503","-26.21761079",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
"20",20,"726_27_BK","Ursinia chrysanthemoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",27,50,50,35,1374.446786,"4","N","0.628823662","45.32349573","72.07663845","-0.995115681","-27.11447849",0.397051721811295,2880,2923,2832,5062,578,238,259,1576,837,1449,894,127,5.5,3546,3000,2769,231,2896,2839,3770,3000,2302,1468,-392,-721,-1256,864,NA,8,54082,17769,35832,NA,164,NA,NA,213,NA,147,5062,2873,5972,5647,5144,828,10,10,10,4,8,9,11,365,317,365,8302,17172,11197,6219,10953,26449,17219,8384,18065,0,5098,4802,4235,863,-865,NA,9292,7423,5804,3488,c(24.07991, -33.54049),14.85,506.2
