"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"1",1,"726_1_BK","Euphorbia grandidens","EUPHORBIACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",1,1000,500,500,196349.5408,"2","N","1.360609795","42.02669126","30.8881293","7.547038941","-15.20076096",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"2",2,"726_10_BK","Cotyledon woodii","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",10,95,105,58,4783.074815,"4","N","0.555052701","43.30490031","78.01943891","4.090359897","-14.60902325",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"3",3,"726_11_BK","Senecio ficoides","ASTERACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",11,112,115,95,8580.474935,"1","N","0.563865044","42.86770566","76.02476185","1.922860135","-23.93547245",4110,476.3586288629,26.7112064361572,c(24.04128, -33.55094)
"4",4,"726_12_BK","Rhoicissus digitata","VITACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",12,220,300,350,82466.80716,"4","B","0.868317601","46.66187406","53.73825659","4.111829953","-26.24295706",4110,476.3586288629,26.7112064361572,c(24.04128, -33.55094)
"5",5,"726_13_BK","Indigofera denudata","FABACEAE",-33.55094,24.04128,"Baviaanksloof",726,"ASH",13,120,58,50,2277.654674,"4","L","1.329070372","47.45361796","35.70436822","-0.642811578","-26.79959994",4110,476.3586288629,26.7112064361572,c(24.04128, -33.55094)
"6",6,"726_14_BK","Hermannia involucrata","MALVACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",14,138,20,15,235.619449,"4","N","1.062293193","45.21468974","42.56328672","-0.750161859","-27.32699714",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"7",7,"726_15_BK","Pentaschistis eriostoma","POACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",15,45,70,60,3298.672286,"0","S","0.554483603","44.07813334","79.49402494","0.592692564","-24.28252125",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"8",8,"726_16_BK","Osteospermum polygaloides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",16,140,15,17,200.2765317,"2","N","NA","NA","NA","NA","NA",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"9",9,"726_17_BK","Lobelia coronopifolia","CAMPANULACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",17,23,40,30,942.4777961,"4","B","0.806681642","40.27147963","49.92239507","0.835694563","-26.17471712",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"10",10,"726_18_BK","Aristea pusilla","IRIDACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",18,9,9,6,42.41150082,"0","N","0.968464282","43.79275539","45.21876148","0.501932781","-25.37241047",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"11",11,"726_19_BK","Helichrysum nudifolium","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",19,10,16,13,163.362818,"0","L","1.192633479","36.12921812","30.29364742","0.288208131","-27.49077298",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"12",12,"726_2_BK","Panicum maximum","POACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",2,60,90,80,5654.866776,"1","B","1.950331153","40.93216578","20.98729014","7.03566124","-13.94417132",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"13",13,"726_20_BK","Gazania krebsiana","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",20,10,15,15,176.7145868,"0","B","1.152112837","39.15060627","33.98157283","-0.432990574","-29.5555184",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"14",14,"726_21_BK","Aspalathus kougaensis","FABACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",21,114,71,58,3234.269637,"4","B","0.702815589","48.26211874","68.66967599","-1.508445206","-25.31294425",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"15",15,"726_22_BK","Euchaetis vallis-simiae","RUTACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",22,55,30,32,753.9822369,"4","B","0.478154402","47.03868011","98.37550356","0.792754451","-25.54008574",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"16",16,"726_23_BK","Selago glomerata","SCROPHULARIACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",23,110,80,55,3455.751919,"4","S","0.618964496","46.70272938","75.45300208","0.101809007","-26.99554604",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"17",17,"726_24_BK","Disparago ericoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",24,80,45,40,1413.716694,"4","B","0.502432372","45.91124296","91.37795547","-0.020179949","-26.3999089",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"18",18,"726_25_BK","Asparagus africanus","ASPARAGACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",25,16,36,37,1046.150354,"1","B","0.693874474","47.05386705","67.81322671","1.964824336","-25.61319995",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"19",19,"726_26_BK","Aspalathus collina","FABACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",26,70,80,50,3141.592654,"4","S","0.703466845","47.18131989","67.0697137","-1.26739503","-26.21761079",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"20",20,"726_27_BK","Ursinia chrysanthemoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",27,50,50,35,1374.446786,"4","N","0.628823662","45.32349573","72.07663845","-0.995115681","-27.11447849",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"21",21,"726_28_BK","Struthiola argentea","THYMELAEACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",28,63,50,40,1570.796327,"3","B","0.607974277","45.87889642","75.46190381","-0.861415786","-25.40848015",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"22",22,"726_29_BK","Hertia kraussii","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",29,105,65,45,2297.289628,"4","N","0.664467887","42.24897819","63.58317539","0.12132724","-27.76080815",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"23",23,"726_3_BK","Crassula cultrata","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof",726,"ASH",3,45,70,44,2419.026343,"2","N","1.35186104","42.34134348","31.32078094","4.740317052","-21.37160066",5550,457.925199232767,22.775857925415,c(24.04194, -33.55142)
"24",24,"726_30_BK","Pelargonium myrrhifolium","GERANIACEAE",-33.54049,24.07991,"Baviaanksloof",726,"ASH",30,65,70,65,3573.561643,"2","B","0.997077131","45.07376351","45.20589442","-0.404689136","-26.02458927",5520,946.896174684705,26.301441192627,c(24.07991, -33.54049)
"25",25,"726_31_BK","Hibiscus aethiopicus","MALVACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",31,12,20,15,235.619449,"1","B","1.123177884","38.91973224","34.65144104","0.200376083","-28.35936985",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"26",26,"726_32_BK","Gnidia juniperifolia","THYMELAEACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",32,13,28,11,241.9026343,"3","N","0.630093368","45.86860077","72.79651412","-1.093682757","-27.20806469",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"27",27,"726_33_BK","Protea intonsa","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",33,22,52,42,1715.309589,"1","L","0.601830233","48.75394899","81.00947134","2.780686471","-24.18211106",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
"28",28,"726_34_BK","Gibbaria scabra","ASTERACEAE",-33.53947,24.07983,"Baviaanksloof",726,"ASH",34,23,50,58,2277.654674,"4","B","0.702894092","44.41601047","63.19018895","-1.464529182","-28.31647618",5850,962.41906279429,26.6209869384766,c(24.07983, -33.53947)
