Species,Plot,Year,Site,PercCover,AbundClass,PlotPercCov,RelPercCover,Family
Abutilon sonneratianum,BK_54,1992,baviaanskloof,0.5,NA,51,0.00980392156862745,MALVACEAE
Abutilon sonneratianum,BK_56_b,2011,baviaanskloof,0.2,NA,88.6,0.00225733634311512,MALVACEAE
Abutilon sonneratianum,BK_43_a,2011,baviaanskloof,1,NA,108.7,0.00919963201471941,MALVACEAE
Abutilon sonneratianum,BK_43_b,2011,baviaanskloof,1,NA,97.2,0.0102880658436214,MALVACEAE
Abutilon sonneratianum,BK_54_a,2011,baviaanskloof,1,NA,72.4,0.0138121546961326,MALVACEAE
Abutilon sonneratianum,BK_45_a,2011,baviaanskloof,0.5,NA,110.6,0.00452079566003617,MALVACEAE
Abutilon sonneratianum,BK_44,1992,baviaanskloof,0.1,NA,73,0.00136986301369863,MALVACEAE
Abutilon sonneratianum,BK_105_a,2011,baviaanskloof,0.1,NA,59.8,0.00167224080267559,MALVACEAE
Abutilon sonneratianum,BK_105_b,2011,baviaanskloof,0.05,NA,51.05,0.000979431929480901,MALVACEAE
Abutilon sonneratianum,BK_43,1992,baviaanskloof,0.1,NA,52.6,0.00190114068441065,MALVACEAE
Abutilon sonneratianum,BK_45_b,2011,baviaanskloof,0.5,NA,129.2,0.00386996904024768,MALVACEAE
Acacia cyclops,HK_26,1978,hangklip,0.1,NA,60.7,0.00164744645799012,FABACEAE
Acacia cyclops,HK_37,1978,hangklip,15,NA,61.1,0.245499181669394,FABACEAE
Acacia cyclops,HK_58,1978,hangklip,0.1,NA,43.1,0.00232018561484919,FABACEAE
Acacia mearnsii,BK_28_a,2011,baviaanskloof,2,NA,88.5,0.0225988700564972,FABACEAE
Acacia mearnsii,BK_28_b,2011,baviaanskloof,1,NA,84,0.0119047619047619,FABACEAE
Acacia saligna,CP_3,2010,cape_point,0.3,1,47.37,0.00633312222925903,FABACEAE
Acalypha glabrata,BK_121_a,2011,baviaanskloof,0.5,NA,73.3,0.00682128240109141,EUPHORBIACEAE
Acmadenia nivea,LB1_97,1993,langeberg,2.5,NA,235.4,0.0106202209005947,RUTACEAE
Acmadenia nivea,LB1_107,1993,langeberg,2.5,NA,192.6,0.0129802699896158,RUTACEAE
Acmadenia nivea,LB1_108,1993,langeberg,2.5,NA,345.1,0.00724427702115329,RUTACEAE
Acmadenia nivea,LB1_100,1993,langeberg,2.5,NA,265.8,0.00940556809631302,RUTACEAE
Acmadenia nivea,LB1_104,1993,langeberg,2.5,NA,207.8,0.0120307988450433,RUTACEAE
Acmadenia nivea,LB1_99,1993,langeberg,2.5,NA,352.9,0.00708415981864551,RUTACEAE
Acmadenia nivea,LB1_101,1993,langeberg,2.5,NA,325.3,0.00768521364893944,RUTACEAE
Acmadenia nivenii,LB2_145,1993,langeberg,2.5,NA,153.9,0.0162443144899285,RUTACEAE
Acmadenia nivenii,LB2_132,1993,langeberg,2.5,NA,103.6,0.0241312741312741,RUTACEAE
Acmadenia tetragona,LB2_129,1993,langeberg,2.5,NA,168,0.0148809523809524,RUTACEAE
Acmadenia trigona,LB2_86,1993,langeberg,2.5,NA,297.5,0.00840336134453781,RUTACEAE
Acmadenia trigona,LB2_67,1993,langeberg,2.5,NA,227.7,0.0109793588054458,RUTACEAE
Acmadenia trigona,LB2_83,1993,langeberg,2.5,NA,292.8,0.00853825136612022,RUTACEAE
Acmadenia trigona,LB2_111,1993,langeberg,2.5,NA,180.4,0.0138580931263858,RUTACEAE
Acmadenia trigona,LB2_87,1993,langeberg,2.5,NA,145.8,0.0171467764060357,RUTACEAE
Acmadenia trigona,LB2_76,1993,langeberg,2.5,NA,146,0.0171232876712329,RUTACEAE
