raw_species,plot,year,site,percent_cover,abund_class
Asparagus africanus,BK_1,1992,baviaanskloof,0.5,NA
Cheilanthes parviloba,BK_1,1992,baviaanskloof,0.5,NA
Cotyledon woodii,BK_1,1992,baviaanskloof,1,NA
Crassula rogersii,BK_1,1992,baviaanskloof,3,NA
Crassula tetragona,BK_1,1992,baviaanskloof,1,NA
Crotalaria capensis,BK_1,1992,baviaanskloof,0.5,NA
Diospyros dichrophylla,BK_1,1992,baviaanskloof,0.5,NA
Dodonaea viscosa,BK_1,1992,baviaanskloof,0.5,NA
Eragrostis curvula,BK_1,1992,baviaanskloof,2,NA
Euphorbia atrispina,BK_1,1992,baviaanskloof,0.5,NA
Grewia occidentalis,BK_1,1992,baviaanskloof,0.5,NA
Loxostylis alata,BK_1,1992,baviaanskloof,3,NA
Passerina obtusifolia,BK_1,1992,baviaanskloof,10,NA
Plumbago auriculata,BK_1,1992,baviaanskloof,0.5,NA
Polygala fruticosa,BK_1,1992,baviaanskloof,0.5,NA
Portulacaria afra,BK_1,1992,baviaanskloof,0.5,NA
Pterocelastrus tricuspidatus,BK_1,1992,baviaanskloof,0.5,NA
Putterlickia pyracantha,BK_1,1992,baviaanskloof,0.5,NA
Rhus glauca,BK_1,1992,baviaanskloof,0.5,NA
Agathosma unicarpellata,BK_2,1992,baviaanskloof,0.5,NA
Cannomois scirpoides,BK_2,1992,baviaanskloof,0.5,NA
Diosma rourkei,BK_2,1992,baviaanskloof,10,NA
Hypodiscus striatus,BK_2,1992,baviaanskloof,1,NA
Indigofera denudata,BK_2,1992,baviaanskloof,0.5,NA
Leucadendron nobile,BK_2,1992,baviaanskloof,5,NA
Leucospermum wittebergense,BK_2,1992,baviaanskloof,0.5,NA
Mastersiella purpurea,BK_2,1992,baviaanskloof,10,NA
Merxmuellera arundinacea,BK_2,1992,baviaanskloof,0.5,NA
Metalasia massonii,BK_2,1992,baviaanskloof,0.5,NA
Pentaschistis eriostoma,BK_2,1992,baviaanskloof,0.5,NA
Rhodocoma fruticosa,BK_2,1992,baviaanskloof,0.5,NA
Thesium nigromontanum,BK_2,1992,baviaanskloof,0.5,NA
Thoracosperma nanum,BK_2,1992,baviaanskloof,5,NA
Wahlenbergia neorigida,BK_2,1992,baviaanskloof,0.5,NA
Agathosma martiana,BK_3,1992,baviaanskloof,4,NA
Aspalathus rubens,BK_3,1992,baviaanskloof,0.1,NA
Athanasia pinnata,BK_3,1992,baviaanskloof,0.1,NA
Erica umbelliflora,BK_3,1992,baviaanskloof,2,NA
Ficinia filiformis,BK_3,1992,baviaanskloof,0.1,NA
Gibbaria scabra,BK_3,1992,baviaanskloof,0.5,NA
Helichrysum anomalum,BK_3,1992,baviaanskloof,0.5,NA
Hypodiscus striatus,BK_3,1992,baviaanskloof,20,NA
Lobelia coronopifolia,BK_3,1992,baviaanskloof,0.1,NA
Merxmuellera arundinacea,BK_3,1992,baviaanskloof,4,NA
Metalasia massonii,BK_3,1992,baviaanskloof,1,NA
Muraltia juniperifolia,BK_3,1992,baviaanskloof,0.5,NA
Phylica lachneaeoides,BK_3,1992,baviaanskloof,3,NA
Protea lorifolia,BK_3,1992,baviaanskloof,4,NA
Relhania speciosa,BK_3,1992,baviaanskloof,0.1,NA
Rhodocoma fruticosa,BK_3,1992,baviaanskloof,0.5,NA
Ruschia species,BK_3,1992,baviaanskloof,0.5,NA
Selago thunbergii,BK_3,1992,baviaanskloof,0.5,NA
Senecio aizoides,BK_3,1992,baviaanskloof,0.1,NA
Thoracosperma galpinii,BK_3,1992,baviaanskloof,0.1,NA
Agathosma capensis,BK_4,1992,baviaanskloof,0.5,NA
Andropogon appendiculatus,BK_4,1992,baviaanskloof,0.5,NA
Anthospermum aethiopicum,BK_4,1992,baviaanskloof,0.5,NA
Anthospermum galioides,BK_4,1992,baviaanskloof,0.5,NA
Aspalathus collina,BK_4,1992,baviaanskloof,1,NA
Aspalathus kougaensis,BK_4,1992,baviaanskloof,5,NA
Babiana sambucina,BK_4,1992,baviaanskloof,0.5,NA
Brachiaria serrata,BK_4,1992,baviaanskloof,1,NA
Cliffortia drepanoides,BK_4,1992,baviaanskloof,3,NA
Euchaetis vallis-simiae,BK_4,1992,baviaanskloof,0.5,NA
Euryops munitus,BK_4,1992,baviaanskloof,0.5,NA
Ficinia filiformis,BK_4,1992,baviaanskloof,0.5,NA
Gazania krebsiana,BK_4,1992,baviaanskloof,0.5,NA
Helichrysum cymosum,BK_4,1992,baviaanskloof,0.5,NA
Heliophila glauca,BK_4,1992,baviaanskloof,0.5,NA
Hermannia involucrata,BK_4,1992,baviaanskloof,2,NA
Hibiscus aethiopicus,BK_4,1992,baviaanskloof,0.1,NA
Hypodiscus striatus,BK_4,1992,baviaanskloof,4,NA
Metalasia massonii,BK_4,1992,baviaanskloof,0.5,NA
Montinia caryophyllacea,BK_4,1992,baviaanskloof,0.5,NA
Muraltia juniperifolia,BK_4,1992,baviaanskloof,0.5,NA
Othonna carnosa,BK_4,1992,baviaanskloof,0.5,NA
Othonna species,BK_4,1992,baviaanskloof,0.5,NA
Pentaschistis eriostoma,BK_4,1992,baviaanskloof,17,NA
Phylica axillaris,BK_4,1992,baviaanskloof,0.5,NA
Rhodocoma fruticosa,BK_4,1992,baviaanskloof,4,NA
Ruschia species,BK_4,1992,baviaanskloof,0.5,NA
Wahlenbergia species,BK_4,1992,baviaanskloof,0.1,NA
Agathosma puberula,BK_5,1992,baviaanskloof,0.5,NA
