"sample_ID","scientific_name_original","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","lwc","succulence","ldmc","lwr","twig_fwc","quality_flag"
"726_1_baviaanskloof_ASH","Euphorbia grandidens","Euphorbiaceae","Euphorbia grandidens","Haw.","Euphorbiaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",1,"stem",26.55,17.7,1.5,1.9,13.3,NA,NA,15.163,1.467,NA,NA,NA,NA,11.8,9.33605998636673,""
"726_1_baviaanskloof_ASH","Euphorbia grandidens","Euphorbiaceae","Euphorbia grandidens","Haw.","Euphorbiaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",1,"stem",15.458,11.8,1.31,1.64,11.8,NA,NA,10.069,1.141,NA,NA,NA,NA,9.00763358778626,7.82471516213848,""
"726_1_baviaanskloof_ASH","Euphorbia grandidens","Euphorbiaceae","Euphorbia grandidens","Haw.","Euphorbiaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",1,"stem",24.48,19.9,1.23,1.94,11.5,NA,NA,18.298,1.749,NA,NA,NA,NA,16.1788617886179,9.46197827329903,""
"726_10_baviaanskloof_ASH","Cotyledon woodii","Crassulaceae","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",10,"2",8.55,3.2,1.4,2.1,6.5,3.552,0.217,0.492,0.222,253.801169590643,15.36866359447,4154.38596491228,0.0610923423423423,2.28571428571429,1.21621621621622,""
"726_10_baviaanskloof_ASH","Cotyledon woodii","Crassulaceae","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",10,"2",6.49,2.5,1.4,1.9,5.9,2.407,0.134,0.597,0.219,206.471494607088,16.9626865671642,3708.78274268105,0.0556709597008725,1.78571428571429,1.72602739726027,""
"726_10_baviaanskloof_ASH","Cotyledon woodii","Crassulaceae","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",10,"3",6.55,2.3,1,1.3,5.1,2.445,0.148,0.513,0.228,225.954198473282,15.5202702702703,3732.82442748092,0.0605316973415133,2.3,1.25,""
"726_10_baviaanskloof_ASH","Cotyledon woodii","Crassulaceae","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",10,"1",20.78,10.9,1.9,3.5,0.609,1.105,0.442,NA,NA,212.704523580366,1.5,531.761308950914,0.4,5.73684210526316,NA,""
"726_11_baviaanskloof_ASH","Senecio ficoides","Asteraceae","Senecio ficoides","Sch.Bip.","Asteraceae",-33.55094,24.04128,"baviaanskloof","2",2011-07-26,"ASH",11,"1",4.39,6.5,0.7,0.9,6.5,2.081,0.114,1.446,0.294,259.681093394077,17.2543859649123,4740.31890660592,0.0547813551177319,9.28571428571429,3.91836734693878,""
"726_11_baviaanskloof_ASH","Senecio ficoides","Asteraceae","Senecio ficoides","Sch.Bip.","Asteraceae",-33.55094,24.04128,"baviaanskloof","3",2011-07-26,"ASH",11,"2",4.46,3.6,0.6,0.9,6.7,2.287,0.15,0.435,0.091,336.322869955157,14.2466666666667,5127.80269058296,0.0655881066899869,6,3.78021978021978,""
"726_11_baviaanskloof_ASH","Senecio ficoides","Asteraceae","Senecio ficoides","Sch.Bip.","Asteraceae",-33.55094,24.04128,"baviaanskloof","1",2011-07-26,"ASH",11,"2",5.47,4.5,0.5,0.8,6.7,2.667,0.131,0.464,0.091,239.488117001828,19.3587786259542,4875.68555758684,0.0491188601424822,9,4.0989010989011,""
