"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","perennial","annual","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal","scientific_name_authorship"
"Abutilon sonneratianum","Abutilon sonneratianum","Malvaceae","Abutilon sonneratianum","Abutilon sonneratianum","Malvaceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,3.966666667,0,0,"leaf",2,"l","i","w","Abutilon sonneratianum"
"Acacia cyclops","Acacia cyclops","Fabaceae","Acacia cyclops","Acacia cyclops","Fabaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","May",NA,NA,400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"phyllode",0,0,1,0,0,0,NA,0,0,"leaf",3,"h","i","m","Acacia cyclops"
"Acacia mearnsii","Acacia mearnsii","Fabaceae","Acacia mearnsii","Acacia mearnsii","Fabaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,1,0,0,NA,0,0,"leaf",3,"h","i","m","Acacia mearnsii"
"Acacia saligna","Acacia saligna","Fabaceae","Acacia saligna","Acacia saligna","Fabaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Oct",NA,NA,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"phyllode",0,1,1,0,0,0,NA,0,0,"leaf",3,"m","i","m","Acacia saligna"
"Acalypha glabrata","Acalypha glabrata","Euphorbiaceae","Acalypha glabrata","Acalypha glabrata","Euphorbiaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"m","i","i","Acalypha glabrata"
"Acmadenia latifolia","Acmadenia latifolia","Rutaceae","Acmadenia latifolia","Acmadenia latifolia","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.32,0,0,"leaf",2,"h","i","p","Acmadenia latifolia"
"Acmadenia nivea","Acmadenia nivea","Rutaceae","Acmadenia nivea","Acmadenia nivea","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Mar","Aug",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p","Acmadenia nivea"
"Acmadenia nivenii","Acmadenia nivenii","Rutaceae","Acmadenia nivenii","Acmadenia nivenii","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Dec",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,0.644,0,0,"leaf",2,"h","i","p","Acmadenia nivenii"
"Acmadenia tetragona","Acmadenia tetragona","Rutaceae","Acmadenia tetragona","Acmadenia tetragona","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p","Acmadenia tetragona"
"Acmadenia trigona","Acmadenia trigona","Rutaceae","Acmadenia trigona","Acmadenia trigona","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.132,0,0,"leaf",2,"h","i","p","Acmadenia trigona"
"Acrolophia barbata","Acrolophia barbata","Orchidaceae","Eulophia barbata","Eulophia barbata","Orchidaceae",1,0,1,0,1,0,1,1,0,1,0,"Nov","Dec",NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Eulophia barbata"
"Acrolophia capensis","Acrolophia capensis","Orchidaceae","Eulophia tristis","Eulophia tristis","Orchidaceae",1,0,1,0,1,0,1,1,0,1,0,"Dec","Jan",NA,NA,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Eulophia tristis"
"Acrosanthes angustifolia","Acrosanthes angustifolia","Aizoaceae","Acrosanthes angustifolia","Acrosanthes angustifolia","Aizoaceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Dec",NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Acrosanthes angustifolia"
"Adenandra brachyphylla","Adenandra brachyphylla","Rutaceae","Adenandra brachyphylla","Adenandra brachyphylla","Rutaceae",1,0,1,0,1,0,0,0,0,1,0,"Jul","Nov",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p","Adenandra brachyphylla"
"Adenandra fragrans","Adenandra fragrans","Rutaceae","Adenandra fragrans","Adenandra fragrans","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,2.52,0,0,"leaf",2,"h","i","p","Adenandra fragrans"
"Adenandra mundiifolia","Adenandra mundiifolia","Rutaceae","Adenandra mundiifolia","Adenandra mundiifolia","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p","Adenandra mundiifolia"
"Adenandra uniflora","Adenandra uniflora","Rutaceae","Adenandra uniflora","Adenandra uniflora","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Oct",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,0.833333333,0,0,"leaf",2,"h","i","p","Adenandra uniflora"
"Adenandra villosa","Adenandra villosa","Rutaceae","Adenandra villosa","Adenandra villosa","Rutaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.61,0,0,"leaf",2,"h","i","p","Adenandra villosa"
"Adenocline pauciflora","Adenocline pauciflora","Euphorbiaceae","Adenocline pauciflora","Adenocline pauciflora","Euphorbiaceae",1,1,0,1,1,0,0,0,0,1,0,"Sep","Dec",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Adenocline pauciflora"
"Adenogramma glomerata","Adenogramma glomerata","Molluginaceae","Adenogramma glomerata","Adenogramma glomerata","Molluginaceae",0,1,1,0,0,1,1,1,0,0,0,"Aug","Oct",NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",0,"l","i","p","Adenogramma glomerata"
"Adromischus cristatus","Adromischus cristatus","Crassulaceae","Adromischus cristatus","Adromischus cristatus","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,"Dec","Mar",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","p","Adromischus cristatus"
