"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Abutilon sonneratianum","Abutilon sonneratianum","MALVACEAE","Abutilon sonneratianum","(Cav.) Sweet","Malvaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,3.966666667,0,0,"leaf",2,"l","i","w"
"Acacia cyclops","Acacia cyclops","FABACEAE","Acacia cyclops","A.Cunn. ex G.Don","Fabaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","May",NA,NA,400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"phyllode",0,0,1,0,0,0,NA,0,0,"leaf",3,"h","i","m"
"Acacia mearnsii","Acacia mearnsii","FABACEAE","Acacia mearnsii","De Wild.","Fabaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,1,0,0,NA,0,0,"leaf",3,"h","i","m"
"Acacia saligna","Acacia saligna","FABACEAE","Acacia saligna","(Labill.) H.L.Wendl.","Fabaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Oct",NA,NA,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"phyllode",0,1,1,0,0,0,NA,0,0,"leaf",3,"m","i","m"
"Acalypha glabrata","Acalypha glabrata","EUPHORBIACEAE","Acalypha glabrata","Thunb.","Euphorbiaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"m","i","i"
"Acmadenia latifolia","Acmadenia latifolia","RUTACEAE","Acmadenia latifolia","I.Williams","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.32,0,0,"leaf",2,"h","i","p"
"Acmadenia nivea","Acmadenia nivea","RUTACEAE","Acmadenia nivea","I.Williams","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Mar","Aug",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Acmadenia nivenii","Acmadenia nivenii","RUTACEAE","Acmadenia nivenii","Sond.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Dec",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,0.644,0,0,"leaf",2,"h","i","p"
"Acmadenia tetragona","Acmadenia tetragona","RUTACEAE","Acmadenia tetragona","Bartl. & H.L.Wendl.","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Acmadenia trigona","Acmadenia trigona","RUTACEAE","Acmadenia trigona","Druce","Rutaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.132,0,0,"leaf",2,"h","i","p"
