scientific_name_original,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,recovery_status,releve_ID,plot,year,subregion,latitude,longitude,percent_cover,abundance_class,cover_method,plot_percent_cover,relative_percent_cover,plot_size
Asparagus africanus,Asparagus africanus,Lam.,Asparagaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Cheilanthes parviloba,Anthonya parviloba,(Sw.) Windham & Pryer,Pteridaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Cotyledon woodii,Cotyledon woodii,Schönland & Baker f.,Crassulaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,1,NA,percent_cover_continuous,26.5,0.03773584905660377,NA
Crassula rogersii,Crassula rogersii,Schönland,Crassulaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,3,NA,percent_cover_continuous,26.5,0.11320754716981132,NA
Crassula tetragona,Crassula tetragona,L.,Crassulaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,1,NA,percent_cover_continuous,26.5,0.03773584905660377,NA
Crotalaria capensis,Crotalaria capensis,Jacq.,Fabaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Diospyros dichrophylla,Diospyros dichrophylla,(Gand.) De Winter,Ebenaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Dodonaea viscosa,Dodonaea viscosa,Jacq.,Sapindaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Eragrostis curvula,Eragrostis curvula,(Schrad.) Nees,Poaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,2,NA,percent_cover_continuous,26.5,0.07547169811320754,NA
Euphorbia atrispina,Euphorbia heptagona,L.,Euphorbiaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Grewia occidentalis,Grewia occidentalis,L.,Malvaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Loxostylis alata,Loxostylis alata,Spreng. ex Rchb.,Anacardiaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,3,NA,percent_cover_continuous,26.5,0.11320754716981132,NA
Passerina obtusifolia,Passerina obtusifolia,Thoday,Thymelaeaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,10,NA,percent_cover_continuous,26.5,0.37735849056603776,NA
Plumbago auriculata,Plumbago auriculata,Lam.,Plumbaginaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Polygala fruticosa,Polygala fruticosa,P.J.Bergius,Polygalaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Portulacaria afra,Portulacaria afra,Jacq.,Didiereaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Pterocelastrus tricuspidatus,Pterocelastrus tricuspidatus,(Lam.) Walp.,Celastraceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Putterlickia pyracantha,Putterlickia pyracantha,(L.) Szyszył.,Celastraceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Rhus glauca,Searsia glauca,(Thunb.) Moffett,Anacardiaceae,wfo_matched,BK_1_1992,BK_1,1992,baviaanskloof,-33.60279,24.24838,0.5,NA,percent_cover_continuous,26.5,0.018867924528301886,NA
Agathosma unicarpellata,Agathosma unicarpellata,(Fourc.) Pillans,Rutaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Cannomois scirpoides,Cannomois scirpoides,Hochst.,Restionaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Diosma rourkei,Diosma rourkei,I.Williams,Rutaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,10,NA,percent_cover_continuous,36,0.2777777777777778,NA
Hypodiscus striatus,Hypodiscus striatus,(Kunth) Mast.,Restionaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,1,NA,percent_cover_continuous,36,0.027777777777777776,NA
Indigofera denudata,Indigofera denudata,L.f.,Fabaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
Leucadendron nobile,Leucadendron nobile,I.Williams,Proteaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,5,NA,percent_cover_continuous,36,0.1388888888888889,NA
Leucospermum wittebergense,Leucospermum wittebergense,Compton,Proteaceae,wfo_matched,BK_2_1992,BK_2,1992,baviaanskloof,-33.59977,24.25466,0.5,NA,percent_cover_continuous,36,0.013888888888888888,NA
