scientific_name_original,scientific_name_MG,family_MG,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,perennial,annual,monoecious,dioecious,evergreen,deciduous,seasonally_apparent,seasonally_identifiable,flower_postfire,resprout_postfire,serotinous,flower_begin,flower_end,flower_begin_alt,flower_end_alt,max_height_cm,herb,geophyte,graminoid,low_shrub,mid_shrub,tall_shrub,tree,scrambler,liana,hemiparasite,parasite,missing_growthform_class,succulent,leaf_succulent,stem_succulent,other_succulent,lvs_linear,lvs_shape_other,lvs_oval,lvs_compound,lvs_lobed,lvs_dissected,leaf_length,virtually_no_leaves,stems_photosynthetic,functional_leaf,plant_longevity,flammability,pollination,dispersal,lvs_frond,lvs_cladode,lvs_phyllode,lvs_microphyll
Abutilon sonneratianum,Abutilon sonneratianum,Malvaceae,Abutilon sonneratianum,(Cav.) Sweet,Malvaceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Jan,NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.966666667,0,0,leaf,2,l,i,w,0,0,0,0
Acacia cyclops,Acacia cyclops,Fabaceae,Acacia cyclops,A.Cunn. ex G.Don,Fabaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,May,NA,NA,400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,3,h,i,m,0,0,1,0
Acacia mearnsii,Acacia mearnsii,Fabaceae,Acacia mearnsii,De Wild.,Fabaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,leaf,3,h,i,m,0,0,0,0
Acacia saligna,Acacia saligna,Fabaceae,Acacia saligna,(Labill.) H.L.Wendl.,Fabaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Oct,NA,NA,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,leaf,3,m,i,m,0,0,1,0
Acalypha glabrata,Acalypha glabrata,Euphorbiaceae,Acalypha glabrata,Thunb.,Euphorbiaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,Dec,NA,NA,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,3,m,i,i,0,0,0,0
Acmadenia latifolia,Acmadenia latifolia,Rutaceae,Acmadenia latifolia,I.Williams,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,Dec,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.32,0,0,leaf,2,h,i,p,0,0,0,0
Acmadenia nivea,Acmadenia nivea,Rutaceae,Acmadenia nivea,I.Williams,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Mar,Aug,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Acmadenia nivenii,Acmadenia nivenii,Rutaceae,Acmadenia nivenii,Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Dec,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.644,0,0,leaf,2,h,i,p,0,0,0,0
Acmadenia tetragona,Acmadenia tetragona,Rutaceae,Acmadenia tetragona,(L.f.) Bartl. & H.L.Wendl.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jul,Nov,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Acmadenia trigona,Acmadenia trigona,Rutaceae,Acmadenia trigona,(Eckl. & Zeyh.) Druce,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Nov,NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.132,0,0,leaf,2,h,i,p,0,0,0,0
Acrolophia barbata,Acrolophia barbata,Orchidaceae,Eulophia barbata,(Thunb.) Spreng.,Orchidaceae,1,0,1,0,1,0,1,1,0,1,0,Nov,Dec,NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Acrolophia capensis,Acrolophia capensis,Orchidaceae,Eulophia tristis,(L.f.) Spreng.,Orchidaceae,1,0,1,0,1,0,1,1,0,1,0,Dec,Jan,NA,NA,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Acrosanthes angustifolia,Acrosanthes angustifolia,Aizoaceae,Acrosanthes angustifolia,Eckl. & Zeyh.,Aizoaceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Dec,NA,NA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Adenandra brachyphylla,Adenandra brachyphylla,Rutaceae,Adenandra brachyphylla,Schltdl.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jul,Nov,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Adenandra fragrans,Adenandra fragrans,Rutaceae,Adenandra fragrans,(Sims) Schult.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Nov,NA,NA,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.52,0,0,leaf,2,h,i,p,0,0,0,0
Adenandra mundiifolia,Adenandra mundiifolia,Rutaceae,Adenandra mundiifolia,Eckl. & Zeyh.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Adenandra uniflora,Adenandra uniflora,Rutaceae,Adenandra uniflora,(L.) Willd.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Oct,NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.833333333,0,0,leaf,2,h,i,p,0,0,0,0
Adenandra villosa,Adenandra villosa,Rutaceae,Adenandra villosa,Lichtst. ex Roem. & Schult.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Nov,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.61,0,0,leaf,2,h,i,p,0,0,0,0
Adenocline pauciflora,Adenocline pauciflora,Euphorbiaceae,Adenocline pauciflora,Turcz.,Euphorbiaceae,1,1,0,1,1,0,0,0,0,1,0,Sep,Dec,NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,l,i,p,0,0,0,0
Adenogramma glomerata,Adenogramma glomerata,Molluginaceae,Adenogramma glomerata,(L.f.) Druce,Molluginaceae,0,1,1,0,0,1,1,1,0,0,0,Aug,Oct,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,0,l,i,p,0,0,0,0
Adromischus cristatus,Adromischus cristatus,Crassulaceae,Adromischus cristatus,(Haw.) Lem.,Crassulaceae,1,0,1,0,1,0,0,0,0,0,0,Dec,Mar,NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,0,0,leaf,3,l,i,p,0,0,0,0
Adromischus maculatus,Adromischus maculatus,Crassulaceae,Adromischus maculatus,(Salm-Dyck) Lem.,Crassulaceae,1,0,1,0,1,0,0,0,0,0,0,Dec,Jan,NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6.090909091,0,0,leaf,3,l,i,p,0,0,0,0
Adromischus triflorus,Adromischus triflorus,Crassulaceae,Adromischus triflorus,(L.f.) A.Berger,Crassulaceae,1,0,1,0,1,0,0,0,0,0,0,Nov,Jan,NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,0,0,leaf,3,l,i,p,0,0,0,0
Agapanthus praecox,Agapanthus praecox,Agapanthaceae,Agapanthus praecox,Willd.,Amaryllidaceae,1,0,1,0,0,1,1,1,0,1,0,Dec,Feb,NA,NA,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,leaf,3,l,i,w,0,0,0,0
Agapanthus walshii,Agapanthus africanus,Agapanthaceae,Agapanthus walshii,L.Bolus,Amaryllidaceae,1,0,1,0,0,1,1,1,1,1,0,Dec,Apr,NA,NA,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.86,0,0,leaf,3,l,i,w,0,0,0,0
Agathosma anomala,Agathosma anomala,Rutaceae,Agathosma anomala,E.Mey. ex Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,Apr,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma betulina,Agathosma betulina,Rutaceae,Agathosma betulina,(P.J.Bergius) Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Nov,NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3,0,0,leaf,3,h,i,p,0,0,0,0
Agathosma bicolor,Agathosma bicolor,Rutaceae,Agathosma bicolor,Dümmer,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Sep,NA,NA,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma bifida,Agathosma bifida,Rutaceae,Agathosma bifida,(Jacq.) Bartl. & H.L.Wendl.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jan,Dec,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.796,0,0,leaf,3,h,i,p,0,0,0,0
Agathosma bisulca,Agathosma bisulca,Rutaceae,Agathosma bisulca,Bartl. & H.L.Wendl.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Nov,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.5,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma capensis,Agathosma capensis,Rutaceae,Agathosma capensis,Druce,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jan,Dec,NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.474482759,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma cerefolium,Agathosma cerefolium,Rutaceae,Agathosma cerefolium,(Vent.) Bartl. & H.L.Wendl.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Aug,Jan,NA,NA,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma ciliaris,Agathosma ciliaris,Rutaceae,Agathosma ciliaris,(L.) Druce,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,May,Dec,NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.62,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma crenulata,Agathosma crenulata,Rutaceae,Agathosma crenulata,(L.) Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jun,Nov,NA,NA,250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma distans,Agathosma distans,Rutaceae,Agathosma distans,Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Sep,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma divaricata,Agathosma divaricata,Rutaceae,Agathosma divaricata,Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Nov,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma hookeri,Agathosma hookeri,Rutaceae,Agathosma hookeri,Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Aug,Nov,NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma imbricata,Agathosma imbricata,Rutaceae,Agathosma imbricata,(L.) Willd.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Jan,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.348461538,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma kougaense,Agathosma kougaense,Rutaceae,Agathosma kougaense,Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jul,Nov,NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,leaf,2,m,i,p,0,0,0,0
Agathosma lanceolata,Agathosma lanceolata,Rutaceae,Agathosma lanceolata,(L.) Engl.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Apr,Oct,NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.483333333,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma martiana,Agathosma martiana,Rutaceae,Agathosma martiana,Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jul,Sep,NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.966666667,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma minuta,Agathosma minuta,Rutaceae,Agathosma minuta,Schltdl.,Rutaceae,1,0,1,0,1,0,0,0,0,1,0,Jun,Sep,NA,NA,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma mucronulata,Agathosma mucronulata,Rutaceae,Agathosma mucronulata,Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Sep,Oct,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,0,0,leaf,2,h,i,p,0,0,0,0
