"Column.Name","Description","Variable.class","Variable.Range.Categories","Units","Number.missing"
"scientific_name_original",NA,"character","Abutilon sonneratianum - Zyrphelis microcephala",NA,0
"scientific_name_WFO",NA,"character","Abutilon sonneratianum - Zyrphelis microcephala",NA,0
"scientific_name_authorship",NA,"character","(A.DC.) E.Wimm. - Wolley-Dod",NA,11
"family_WFO",NA,"character","Acanthaceae - Zygophyllaceae",NA,0
"plot",NA,"character","BK_1 - LB2_99",NA,0
"year",NA,"integer","1966 - 2014",NA,0
"subregion",NA,"character","baviaanskloof - langeberg",NA,0
"percent_cover",NA,"numeric","0 - 87.5",NA,6048
"abundance_class",NA,"integer","0 - 5",NA,32247
"plot_percent_cover",NA,"numeric","0.1 - 585",NA,6048
"relative_percent_cover",NA,"numeric","0 - 1",NA,6048
