"Column.Name","Description","Variable.class","Variable.Range.Categories","Units","Number.missing"
"sample_ID",NA,"character","619_1_Hangklip - 825_9_HTR",NA,0
"scientific_name_original",NA,"character","Abutilon sonneratianum - Zygophyllum procumbens",NA,0
"family_MG",NA,"character","Acanthaceae - Zygophyllaceae",NA,0
"scientific_name_WFO",NA,"character","Abutilon sonneratianum - Zygophyllum procumbens",NA,0
"scientific_name_authorship_WFO",NA,"character","(A.DC.) F.White - Willd.",NA,1
"family_WFO",NA,"character","Acanthaceae - Zygophyllaceae",NA,0
"latitude",NA,"numeric","-34.36736 - -31.27247",NA,0
"longitude",NA,"numeric","18.38403 - 24.34838",NA,0
"subregion",NA,"character","baviaanskloof - langeberg",NA,0
"date",NA,"Date","2010-07-21 - 2014-08-25",NA,0
"sample",NA,"numeric","1 - 94",NA,0
"X450",NA,"numeric","1.065745959 - 45.79157583",NA,0
"X451",NA,"numeric","1.369029196 - 45.78407381",NA,0
"X452",NA,"numeric","0.723093697 - 46.02449882",NA,0
"X453",NA,"numeric","0.528981314 - 45.47371994",NA,0
"X454",NA,"numeric","0.721409434 - 45.90331322",NA,0
"X455",NA,"numeric","1.491892237 - 45.30838915",NA,0
"X456",NA,"numeric","0.70084439 - 45.3756258",NA,0
"X457",NA,"numeric","0 - 45.50998993",NA,0
"X458",NA,"numeric","0.888374291 - 45.08812428",NA,0
"X459",NA,"numeric","1.290747846 - 44.92759258",NA,0
"X460",NA,"numeric","0.057130657 - 45.08481481",NA,0
"X461",NA,"numeric","1.195937299 - 44.98625329",NA,0
"X462",NA,"numeric","0.672876372 - 44.62692314",NA,0
"X463",NA,"numeric","0.924589121 - 44.47500311",NA,0
"X464",NA,"numeric","0.811538355 - 44.29019088",NA,0
"X465",NA,"numeric","0.888803822 - 44.32455882",NA,0
"X466",NA,"numeric","0.633044563 - 44.00709013",NA,0
"X467",NA,"numeric","0.920487179 - 44.02325719",NA,0
"X468",NA,"numeric","1.124494506 - 43.91095792",NA,0
"X469",NA,"numeric","0.998521438 - 43.61776536",NA,0
"X470",NA,"numeric","0.655958013 - 43.64198349",NA,0
"X471",NA,"numeric","0.827986685 - 43.63305009",NA,0
"X472",NA,"numeric","0.90091474 - 43.22769961",NA,0
"X473",NA,"numeric","1.010109058 - 43.38783746",NA,0
"X474",NA,"numeric","0.598974301 - 43.32588618",NA,0
"X475",NA,"numeric","0.717575775 - 43.05785459",NA,0
"X476",NA,"numeric","0.529854107 - 42.97537823",NA,0
"X477",NA,"numeric","0.791682517 - 42.925059",NA,0
"X478",NA,"numeric","0.848088151 - 42.58460082",NA,0
"X479",NA,"numeric","0.840115289 - 42.7405652",NA,0
"X480",NA,"numeric","1.051118194 - 42.54810537",NA,0
"X481",NA,"numeric","1.083816097 - 42.45236902",NA,0
"X482",NA,"numeric","0.967242776 - 42.50566394",NA,0
"X483",NA,"numeric","1.284468694 - 42.38763808",NA,0
"X484",NA,"numeric","1.392114588 - 42.29620482",NA,0
"X485",NA,"numeric","1.27052062 - 42.29657009",NA,0
"X486",NA,"numeric","1.36936057 - 42.0763856",NA,0
"X487",NA,"numeric","1.274314668 - 42.19228411",NA,0
"X488",NA,"numeric","1.276483841 - 42.13162703",NA,0
"X489",NA,"numeric","1.24765706 - 41.99119881",NA,0
"X490",NA,"numeric","1.304162017 - 41.96363342",NA,0
"X491",NA,"numeric","1.232521683 - 41.91067064",NA,0
"X492",NA,"numeric","1.275972102 - 41.96414321",NA,0
"X493",NA,"numeric","1.231486673 - 41.86820144",NA,0
"X494",NA,"numeric","1.230774481 - 41.89329327",NA,0
"X495",NA,"numeric","1.210603229 - 41.94217209",NA,0
"X496",NA,"numeric","1.232415653 - 42.12060506",NA,0
"X497",NA,"numeric","1.244809935 - 42.29777417",NA,0
"X498",NA,"numeric","1.229762993 - 42.25531836",NA,0
"X499",NA,"numeric","1.160597983 - 42.45379739",NA,0
"X500",NA,"numeric","1.231639672 - 42.92558843",NA,0
"X501",NA,"numeric","1.215748071 - 43.01904961",NA,0
"X502",NA,"numeric","1.154357981 - 43.46413314",NA,0
"X503",NA,"numeric","1.149308491 - 43.82253027",NA,0
"X504",NA,"numeric","1.115620015 - 44.13519959",NA,0
"X505",NA,"numeric","1.191500023 - 44.2447511",NA,0
"X506",NA,"numeric","1.170883208 - 44.58977443",NA,0
"X507",NA,"numeric","1.184236437 - 44.97247114",NA,0
"X508",NA,"numeric","1.194272446 - 45.29695034",NA,0
"X509",NA,"numeric","1.145159427 - 45.60784504",NA,0
"X510",NA,"numeric","1.174243451 - 45.89304372",NA,0
"X511",NA,"numeric","1.175553757 - 46.30443271",NA,0
"X512",NA,"numeric","1.218033318 - 46.70400004",NA,0
"X513",NA,"numeric","1.189415512 - 47.18609597",NA,0
"X514",NA,"numeric","1.250560163 - 47.58316278",NA,0
"X515",NA,"numeric","1.210006626 - 47.88834221",NA,0
"X516",NA,"numeric","1.234803373 - 48.49056998",NA,0
"X517",NA,"numeric","1.25175004 - 49.27547878",NA,0
"X518",NA,"numeric","1.278288926 - 49.96829935",NA,0
"X519",NA,"numeric","1.264489331 - 50.56380655",NA,0
"X520",NA,"numeric","1.286905421 - 51.21029727",NA,0
"X521",NA,"numeric","1.30814804 - 51.70235022",NA,0
"X522",NA,"numeric","1.317828384 - 52.30359971",NA,0
"X523",NA,"numeric","1.334039408 - 53.01622256",NA,0
"X524",NA,"numeric","1.344031998 - 53.73549471",NA,0
"X525",NA,"numeric","1.348139181 - 54.26561922",NA,0
"X526",NA,"numeric","1.333392108 - 54.71374962",NA,0
"X527",NA,"numeric","1.364158206 - 54.96030097",NA,0
"X528",NA,"numeric","1.387170737 - 55.57925476",NA,0
"X529",NA,"numeric","1.39181504 - 56.07802715",NA,0
"X530",NA,"numeric","1.402874894 - 56.16421751",NA,0
