item,value,used_in,source_file,expression
rows__canopy_leaf_chemistry,2509,Table 1 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,nrow(canopy)
rows__leaf_struct_water_traits,9547,Table 1 / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,nrow(leafstruc)
rows__vnir_spectra,3076,Table 1 / DAAC doc,Data_Outputs/vnir_spectra.csv,nrow(vnir)
cols__vnir_spectra,511,Table 1 / DAAC doc,Data_Outputs/vnir_spectra.csv,ncol(vnir)
rows__species_traits,2225,Table 1 / DAAC doc,Data_Outputs/species_traits.csv,nrow(species)
rows__releve,44160,Table 1 / DAAC doc,Data_Outputs/releve.csv,nrow(releve)
trait_obs__leaf_twig,132195,abstract,Data_Outputs/leaf_struct_water_traits.csv; canopy_leaf_chemistry.csv,"count_obs(leafstruc, leaf_struc_cols) + sum(!is.na(canopy[[pubescence_col]]))"
trait_obs__canopy_structure,7513,abstract,Data_Outputs/canopy_leaf_chemistry.csv,"count_obs(canopy, canopy_struc_cols)"
trait_obs__chemistry,11948,abstract,Data_Outputs/canopy_leaf_chemistry.csv,"count_obs(canopy, chem_cols)"
trait_obs__total,151656,abstract,Data_Outputs/leaf_struct_water_traits.csv; canopy_leaf_chemistry.csv,"count_obs(leafstruc, leaf_struc_cols) + sum(!is.na(canopy[[pubescence_col]])) + count_obs(canopy, canopy_struc_cols) + count_obs(canopy, chem_cols)"
species__leaf_struct_water_traits,1327,abstract / Results / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"n_distinct(leafstruc[[species_col]], na.rm = TRUE)"
families__leaf_struct_water_traits,99,abstract / Results / DAAC doc,Data_Outputs/leaf_struct_water_traits.csv,"n_distinct(leafstruc[[family_col]], na.rm = TRUE)"
missing_species_name__leaf_struct_water_traits,5,Methods (check),Data_Outputs/leaf_struct_water_traits.csv,sum(is.na(leafstruc[[species_col]]))
species__canopy_leaf_chemistry,1327,abstract / Results / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"n_distinct(canopy[[species_col]], na.rm = TRUE)"
families__canopy_leaf_chemistry,99,abstract / Results / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"n_distinct(canopy[[family_col]], na.rm = TRUE)"
missing_species_name__canopy_leaf_chemistry,1,Methods (check),Data_Outputs/canopy_leaf_chemistry.csv,sum(is.na(canopy[[species_col]]))
species__vnir_spectra,1158,abstract / Results / DAAC doc,Data_Outputs/vnir_spectra.csv,"n_distinct(vnir[[species_col]], na.rm = TRUE)"
families__vnir_spectra,97,abstract / Results / DAAC doc,Data_Outputs/vnir_spectra.csv,"n_distinct(vnir[[family_col]], na.rm = TRUE)"
missing_species_name__vnir_spectra,0,Methods (check),Data_Outputs/vnir_spectra.csv,sum(is.na(vnir[[species_col]]))
species__species_traits,2213,abstract / Results / DAAC doc,Data_Outputs/species_traits.csv,"n_distinct(species[[species_col]], na.rm = TRUE)"
families__species_traits,121,abstract / Results / DAAC doc,Data_Outputs/species_traits.csv,"n_distinct(species[[family_col]], na.rm = TRUE)"
missing_species_name__species_traits,0,Methods (check),Data_Outputs/species_traits.csv,sum(is.na(species[[species_col]]))
species__releve,2436,abstract / Results / DAAC doc,Data_Outputs/releve.csv,"n_distinct(releve[[species_col]], na.rm = TRUE)"
families__releve,133,abstract / Results / DAAC doc,Data_Outputs/releve.csv,"n_distinct(releve[[family_col]], na.rm = TRUE)"
missing_species_name__releve,14,Methods (check),Data_Outputs/releve.csv,sum(is.na(releve[[species_col]]))
species__leaf_and_canopy_pooled,1327,abstract / Results,Data_Outputs/leaf_struct_water_traits.csv; canopy_leaf_chemistry.csv,pooled_species()
