scientific_name_original,scientific_name_MG,scientific_name_WFO,evergreen,deciduous,dioecious,monoecious,recode_date,recode_reason,likely_mechanism
Annesorhiza altiscapa,Annesorhiza altiscapa,Annesorhiza altiscapa,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Aristida congesta,Aristida congesta,Aristida congesta,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Elegia ebracteata,Chondropetalum ebracteatum,Elegia ebracteata,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia filacea,Elegia filacea,Elegia filacea,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia fistulosa,Elegia fistulosa,Elegia fistulosa,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia galpinii,Elegia galpinii,Elegia galpinii,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia juncea,Elegia juncea,Elegia juncea,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia racemosa,Elegia racemosa,Elegia racemosa,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia tectorum,Chondropetalum tectorum,Elegia tectorum,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Elegia thyrsifera,Elegia thyrsifera,Elegia thyrsifera,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Euphorbia grandidens,Euphorbia grandidens,Euphorbia grandidens,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Helichrysum litorale,Helichrysum litorale,Helichrysum litorale,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Helichrysum tinctum,Helichrysum tinctum,Helichrysum tinctum,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Kiggelaria africana,Kiggelaria africana,Kiggelaria africana,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Lampranthus scaber,Lampranthus scaber,Lampranthus scaber,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Ochna serrulata,Ochna serrulata,Ochna serrulata,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Rhoicissus digitata,Rhoicissus digitata,Rhoicissus digitata,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Euphorbia hamata,Euphorbia hamata,Euphorbia hamata,1,1,1,0,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",dioecious/deciduous text-mining mix-up (unconfirmed)
Euphorbia multiceps,Euphorbia multiceps,Euphorbia multiceps,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Lapeirousia jacquinii,Lapeirousia jacquinii,Lapeirousia jacquinii,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
Thesium lineatum,Thesium lineatum,Lacomucinaea lineata,1,1,0,1,2026-08-11,"evergreen & deciduous both = 1; re-checked flora, no support for deciduous; recoded deciduous to 0",unknown
