scientific_name_original,scientific_name_MG,scientific_name_WFO,evergreen,deciduous,recode_date,recode_reason
Alatoseta tenuis,Alatoseta tenuis,Alatoseta tenuis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Alyssum minutum,Alyssum minutum,Alyssum minutum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Amsinckia calycina,Amsinckia calycina,Amsinckia calycina,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Amsinckia menziesii,Amsinckia menziesii,Amsinckia menziesii,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Arctotis fastuosa,Arctotis fastuosa,Arctotis fastuosa,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Aristida vestita,Aristida vestita,Aristida vestita,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Bromus pectinatus,Bromus pectinatus,Bromus pectinatus,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cleretum bellidiforme,Cleretum bellidiforme,Cleretum bellidiforme,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cleretum lyratifolium,Cleretum lyratifolium,Cleretum lyratifolium,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cleretum maughanii,Cleretum maughanii,Cleretum maughanii,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cleretum papulosum,Cleretum papulosum,Cleretum papulosum,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cotula barbata,Cotula barbata,Cotula barbata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cotula bipinnata,Cotula bipinnata,Cotula bipinnata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cotula microglossa,Cotula microglossa,Cotula microglossa,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cotula nudicaulis,Cotula nudicaulis,Cotula nudicaulis,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cotula sororia,Cotula sororia,Cotula sororia,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Crassula dichotoma,Crassula dichotoma,Crassula dichotoma,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Crassula glomerata,Crassula glomerata,Crassula glomerata,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Crassula thunbergiana,Crassula thunbergiana,Crassula thunbergiana,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Crassula umbella,Crassula umbella,Crassula umbella,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Crassula vaillantii,Crassula vaillantii,Crassula vaillantii,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cromidon corrigioloides,Cromidon corrigioloides,Cromidon corrigioloides,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
Cromidon varicalyx,Cromidon varicalyx,Cromidon varicalyx,0,0,2026-08-11,both evergreen and deciduous = 0; treated as missing data per reviewer comment
