sample_id,NewUID,ScientificName_WFO,canopy_axis_1_cm,canopy_axis_2_cm,canopy_area_cm2,canopy_area_check,canopy_area_ratio
729_18_htr_BHR,729_18_htr,Pentzia incana,120,10,942.4777961,3318.307240354219,0.2840236686460032
729_21_htr_BHR,729_21_htr,Microloma sagittatum,18,2,28.27433388,78.53981633974483,0.3599999999706119
815_34_htr_BHR,815_34_htr,Albuca,40,10,314.1592654,490.8738521234052,0.6400000000835666
708_2_langeberg_EFG,708_2_langeberg,Centella virgata,9,75,530.1437603,1385.4423602330987,0.382653061229342
708_3_langeberg_EFG,708_3_langeberg,Erica anguliger,540,30,12723.45025,63793.96582195774,0.1994459834259217
806_10_htr_EPO,806_10_htr,Haemanthus barkerae,4,1,3.141592654,4.908738521234052,0.6400000000835666
808_1_htr_EPO,808_1_htr,Colchicum crispum,7,1,5.497787144,12.566370614359172,0.4375000000173369
818_49_htr_EPO,818_49_htr,Pelargonium triste,30,5,117.8097245,240.52818754046854,0.4897959183273631
818_50_htr_EPO,818_50_htr,Cyphia volubilis,25,5,98.17477042,176.71458676442586,0.5555555555290663
818_57_htr_EPO,818_57_htr,Convolvulus capensis,44,10,345.5751919,572.5552611167398,0.6035665295014027
710_28_baviaanskloof_HK,710_28_baviaanskloof,Senecio linifolius,65,14,714.7123287,1225.4174844408687,0.583239865412976
710_35_baviaanskloof_HK,710_35_baviaanskloof,Amphithalea williamsonii,80,14,879.645943,1734.9445429449634,0.507016749657516
727_32_baviaanskloof_HK,727_32_baviaanskloof,Hermannia flammea,58,15,683.2964022,1046.3467031862506,0.6530305873944849
731_7_htr_HKM,731_7_htr,Hesperantha luticola,5,1,3.926990817,7.0685834705770345,0.5555555555573606
807_19_htr_HKM,807_19_htr,Moraea bifida,35,1,27.48893572,254.46900494077323,0.10802469136230541
811_1_htr_HKM,811_1_htr,Babiana flabellifolia,6,1,4.71238898,9.62112750161874,0.48979591832736313
703_25_baviaanskloof_JL,703_25_baviaanskloof,Anthonya parviloba,30,8,188.4955592,283.5287369864788,0.6648199445440663
712_7_baviaanskloof_JL,712_7_baviaanskloof,Commelina benghalensis,25,5,98.17477042,176.71458676442586,0.5555555555290663
718_3_baviaanskloof_JL,718_3_baviaanskloof,Plumbago auriculata,720,100,56548.66776,132025.43126711107,0.428316478251769
723_24_cederberg_JS,723_24_cederberg,Pelargonium alternans,80,20,1256.637061,1963.4954084936207,0.6399999997779892
701_12_baviaanskloof_KE,701_12_baviaanskloof,Cyphia digitata,46,9,325.1548396,593.9573610693203,0.5474380164505638
701_14_baviaanskloof_KE,701_14_baviaanskloof,Cyanella lutea,21,2,32.98672286,103.86890710931253,0.31758034023872506
801_10_htr_MAL,801_10_htr,Lapeirousia plicata,6,1,4.71238898,9.62112750161874,0.48979591832736313
730_18_htr_RDG,730_18_htr,Trachyandra falcata,22,5,86.39379797,143.13881527918494,0.6035665294664715
730_3_htr_RDG,730_3_htr,Codonorhiza falcata,5,1,3.926990817,7.0685834705770345,0.5555555555573606
730_5_htr_RDG,730_5_htr,Ornithoglossum parviflorum,9,1,7.068583471,19.634954084936208,0.3600000000215414
730_9_htr_RDG,730_9_htr,Oxalis flava,4,1,3.141592654,4.908738521234052,0.6400000000835666
814_9_htr_RDG,814_9_htr,Romulea tortuosa,7,1,5.497787144,12.566370614359172,0.4375000000173369
821_7_htr_RDG,821_7_htr,Ixia rapunculoides,8,1,6.283185307,15.904312808798327,0.39506172838377007
709_11_baviaanskloof_TEM,709_11_baviaanskloof,Pelargonium peltatum,750,75,44178.64669,133640.40624059705,0.33057851238841485
723_29_cape_point_a,723_29_cape_point,Helichrysum patulum,120,16,1507.964474,3631.681107549801,0.41522491357105523
723_4_cape_point_a,723_4_cape_point,Cassytha ciliolata,244,14,2682.920126,13069.810837096937,0.20527612522018182
725_10_cape_point_c,725_10_cape_point,Indigofera glomerata,14,3,32.98672286,56.74501730546564,0.5813148788452787
725_12_cape_point_c,725_12_cape_point,Aspalathus retroflexa,140,12,1319.468915,4536.459791783661,0.2908587258702907
803_14_cape_point_b,803_14_cape_point,Helichrysum dasyanthum,102,27,2162.986542,3267.452709274234,0.6619794483515087
803_20_cape_point_b,803_20_cape_point,Bobartia gladiata,45,8,282.7433388,551.5458602458581,0.5126379494063537
804_20_cape_point_a,804_20_cape_point,Metalasia densa,26,6,122.5221135,201.06192982974676,0.6093750000497263
804_22_cape_point_a,804_22_cape_point,Aspalathus retroflexa,31,6,146.0840584,268.8025214227767,0.5434623813302584
804_2_cape_point_a,804_2_cape_point,Erica imbricata,13,3,30.63052837,50.26548245743669,0.6093749999502545
810_5_cape_point_b,810_5_cape_point,Struthiola dodecandra,55,7,302.3782929,754.7676350249478,0.40062434962517346
812_28_cape_point_a,812_28_cape_point,Watsonia meriana,19,4,59.69026042,103.86890710931253,0.5746691871628288
812_3_cape_point_a,812_3_cape_point,Schoenus compar,9,2,14.13716694,23.75829444277281,0.5950413222654741
812_9_cape_point_a,812_9_cape_point,Dilatris pillansii,21,5,82.46680716,132.73228961416876,0.6213017751725495
818_1_cape_point_a,818_1_cape_point,Struthiola dodecandra,8,2,12.56637061,19.634954084936208,0.6399999997779892
825_13_cape_point_a,825_13_cape_point,Chenolea diffusa,82,20,1288.052988,2042.820622996763,0.6305267205059154
825_14_cape_point_a,825_14_cape_point,Stenotaphrum secundatum,8,2,12.56637061,19.634954084936208,0.6399999997779892
