sample_id,NewUID,ScientificName_WFO,Family_WFO,canopy_area_cm2,group_median,log10_dev
815_32_htr_BHR,815_32_htr,Ursinia anthemoides,Asteraceae,9.62112750161874,1418.6254326366409,2.168641771400072
815_8_htr_BHR,815_8_htr,Passerina truncata,Thymelaeaceae,9.62112750161874,1104.4661672776617,2.0599264467548863
826_10_htr_BHR,826_10_htr,Schismus barbatus,Poaceae,4.908738521234052,1104.4661672776617,2.3521825181113627
826_7_htr_BHR,826_7_htr,Lasiopogon muscoides,Asteraceae,7.0685834705770345,1418.6254326366409,2.302535350661298
826_9_htr_BHR,826_9_htr,Tribolium tenellum,Poaceae,0.44178646691106466,1104.4661672776617,3.3979400086720375
621_27_hangklip_CC,621_27_hangklip,Erica fascicularis,Ericaceae,3.141592653589793,1256.6370614359173,2.6020599913279625
717_30_baviaanskloof_DEB,717_30_baviaanskloof,Searsia rosmarinifolia,Anacardiaceae,490.8738521234052,51090.15052900401,2.0173672835535297
726_16_cederberg_EFG,726_16_cederberg,Aristea capitata,Iridaceae,11309.733552923255,61.35923151542565,2.265572461743118
808_13_htr_EPO,808_13_htr,Lachenalia obscura,Asparagaceae,0.7853981633974483,1046.3467031862506,3.1245857289129493
808_15_htr_EPO,808_15_htr,Foveolina dichotoma,Asteraceae,12.566370614359172,1418.6254326366409,2.052657877444698
808_22_htr_EPO,808_22_htr,Zaluzianskya violacea,Scrophulariaceae,0.7853981633974483,706.8583470577034,2.9542425094393248
808_5_htr_EPO,808_5_htr,Ifloga glomerata,Asteraceae,12.566370614359172,1418.6254326366409,2.052657877444698
818_41_htr_EPO,818_41_htr,Gymnodiscus capillaris,Asteraceae,1.227184630308513,1418.6254326366409,3.0629578340845103
818_64_htr_EPO,818_64_htr,Cleretum bellidiforme,Aizoaceae,3.141592653589793,1590.4312808798327,2.704365036222725
818_75_htr_EPO,818_75_htr,Zaluzianskya pusilla,Scrophulariaceae,0.7853981633974483,706.8583470577034,2.9542425094393248
818_76_htr_EPO,818_76_htr,Cotula nudicaulis,Asteraceae,7.0685834705770345,1418.6254326366409,2.302535350661298
703_2_baviaanskloof_HK,703_2_baviaanskloof,Osyris compressa,Santalaceae,384845.10006474965,1194.7869560683682,2.5079954887903924
620_13_hangklip_HKM,620_13_hangklip,Osyris compressa,Santalaceae,166190.25137490005,1194.7869560683682,2.1433150721250267
711_27_langeberg_HKM,711_27_langeberg,Virgilia oroboides,Fabaceae,636172.512351933,4717.297718905924,2.1298816138660293
807_13_htr_HKM,807_13_htr,Fusifilum physodes,Asparagaceae,9.62112750161874,1046.3467031862506,2.0364496402123984
811_2_htr_HKM,811_2_htr,Polycarena aurea,Scrophulariaceae,1.7671458676442586,706.8583470577034,2.6020599913279625
811_3_htr_HKM,811_3_htr,Zaluzianskya cohabitans,Scrophulariaceae,0.7853981633974483,706.8583470577034,2.9542425094393248
719_24_baviaanskloof_JAS,719_24_baviaanskloof,Bobartia indica,Iridaceae,7466.191290796993,61.35923151542565,2.085219201044942
703_8_baviaanskloof_JL,703_8_baviaanskloof,Schotia latifolia,Fabaceae,502654.8245743669,4717.297718905924,2.0275765689712664
718_2_baviaanskloof_JL,718_2_baviaanskloof,Vachellia karroo,Fabaceae,950331.7777109124,4717.297718905924,2.3041819653038296
718_28_baviaanskloof_JL,718_28_baviaanskloof,Lobostemon echioides,Boraginaceae,9.62112750161874,4868.094166278233,2.7041330003745174
802_3_cederberg_JL,802_3_cederberg,Freylinia lanceolata,Scrophulariaceae,75476.76350249478,706.8583470577034,2.0284808782292205
802_9_cederberg_JL,802_9_cederberg,Conophytum minusculum,Aizoaceae,3.9760782021995817,1590.4312808798327,2.6020599913279625
801_3_htr_MAL,801_3_htr,Coilonox concordianum,Asparagaceae,4.908738521234052,1046.3467031862506,2.3287057115688743
805_30_htr_MAL,805_30_htr,Othonna undulosa,Asteraceae,9.62112750161874,1418.6254326366409,2.168641771400072
813_9_htr_MAL,813_9_htr,Cotula nudicaulis,Asteraceae,3.141592653589793,1418.6254326366409,2.6547178687726607
820_4_htr_MAL,820_4_htr,Felicia bergeriana,Asteraceae,3.141592653589793,1418.6254326366409,2.6547178687726607
825_13_htr_NRS,825_13_htr,Gazania lichtensteinii,Asteraceae,3.141592653589793,1418.6254326366409,2.6547178687726607
804_23_htr_RDG,804_23_htr,Pelargonium moniliforme,Geraniaceae,4.908738521234052,948.8591561545422,2.286231854028553
814_4_htr_RDG,814_4_htr,Dimorphotheca pluvialis,Asteraceae,12.566370614359172,1418.6254326366409,2.052657877444698
819_79_htr_RDG,819_79_htr,Pelargonium reflexum,Geraniaceae,4.908738521234052,948.8591561545422,2.286231854028553
819_82_htr_RDG,819_82_htr,Othonna hederifolia,Asteraceae,9.62112750161874,1418.6254326366409,2.168641771400072
821_6_htr_RDG,821_6_htr,Lachenalia obscura,Asparagaceae,0.7853981633974483,1046.3467031862506,3.1245857289129493
