NewUID,sample_id,replicate,ScientificName_WFO,fwc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
619_20_hangklip,619_20_hangklip_JS,5c,Schoenus bolusii,84.91666667,66.72023808355995,1.031,3.424866116646952,0.012,1.7369655941662063,leaf_fresh_wgt_g,2.1278946345836163,TRUE,both
804_18_cape_point,804_18_cape_point_a,1,Pentameris curvifolia,16.14285714,30.84622382457127,0.84,3.7484612330040354,0.049,0.29278174922784594,leaf_fresh_wgt_g,1.5740919540948324,TRUE,both
804_16_cape_point,804_16_cape_point_a,3,Roella triflora,29.76923077,27.06293706363636,1.6,4.6665762662748085,0.052,0.7935491225325737,leaf_fresh_wgt_g,1.7753158074260325,TRUE,both
619_20_hangklip,619_20_hangklip_JS,4l,Schoenus bolusii,33.32258065,26.18202764796099,1.064,3.4703199347800333,0.031,0.3677317845004871,leaf_fresh_wgt_g,2.1278946345836163,TRUE,both
711_28_langeberg,711_28_langeberg_HKM,4,Erica madida,16.34104046,21.018740563540902,0.3,2.1098776177723733,0.0173,1.127614196584348,leaf_fresh_wgt_g,1.7828240880723643,TRUE,both
721_42_cape_point,721_42_cape_point_b,1,Metalasia muricata,22.05084746,19.389538283124498,1.36,3.4786535985748155,0.059,0.02466205423426903,leaf_fresh_wgt_g,1.489317520621417,TRUE,both
729_22_cape_point,729_22_cape_point_b,2,Leucadendron coniferum,26.11111111,19.229356749510202,1.22,2.939782477165893,0.045,0.6270879763938327,leaf_fresh_wgt_g,1.4874447321487767,TRUE,both
710_17_langeberg,710_17_langeberg_CM,1,Erica,20.78571429,18.537834464530466,1.22,3.6677029317290923,0.056,0.2527660703799667,leaf_fresh_wgt_g,1.7604965080397843,TRUE,both
725_12_cederberg,725_12_cederberg_JL,1,Macrostylis squarrosa,17.32653061,17.67306121972577,0.898,2.359360522908818,0.049,0.8771432522144663,leaf_fresh_wgt_g,1.7225769643386248,TRUE,both
721_28_cape_point,721_28_cape_point_b,1,Tetraria flexuosa,29,17.023686919999026,0.9,2.2941449383738246,0.03,1.222392421336448,leaf_fresh_wgt_g,1.4590647436196886,TRUE,both
621_23_hangklip,621_23_hangklip_CC,5,Restio tenuissimus,11.35514019,16.36960207124649,1.322,1.7519576177287026,0.107,1.1319771261142295,leaf_fresh_wgt_g,1.6765250534546152,TRUE,both
813_8_htr,813_8_htr_MAL,3,Asparagus capensis,19.4,16.262489414785456,0.204,0.0912247600465385,0.01,3.1210154009613658,leaf_dry_wgt_g,1.4475481057255097,TRUE,both
701_13_baviaanskloof,701_13_baviaanskloof_KE,1,Aristida congesta,13.7,16.039024393373467,0.147,1.756728848987636,0.01,1.232660756790275,leaf_fresh_wgt_g,1.4442793024379545,TRUE,both
721_44_cape_point,721_44_cape_point_b,2,Tetraria microstachys,16.30769231,15.70370371290535,0.45,3.0858607366538378,0.026,0.10691520391651207,leaf_fresh_wgt_g,1.5870381682946095,TRUE,both
702_45_baviaanskloof,702_45_baviaanskloof_DEB,2,Dodonaea viscosa,25.33093525,15.63881073088928,3.66,3.413461644353305,0.139,0.058245141035953636,leaf_fresh_wgt_g,1.4375146995406705,TRUE,both
721_10_baviaanskloof,721_10_baviaanskloof_HK,2,Crassula biplanata,62.33333333,13.991454663472112,2.66,3.5037664178731753,0.042,0.2370391973008493,leaf_fresh_wgt_g,1.4121983537006801,TRUE,both
723_14_cape_point,723_14_cape_point_c,1,Penaea mucronata,13.42105263,13.939126767629368,0.548,3.383786565294404,0.038,0.493040011280117,leaf_fresh_wgt_g,1.4062603313266981,TRUE,both
723_42_cederberg,723_42_cederberg_JS,3,Pentameris curvifolia,9.564102564,12.64686651159347,3.296,3.128079813914554,0.312,0.5814986454175846,leaf_fresh_wgt_g,1.5660131850711914,TRUE,both
