NewUID,sample_id,replicate,ScientificName_WFO,ldmc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
723_8_cape_point,723_8_cape_point_c,2,Pelargonium gibbosum,0.889830508,9.191281829926222,0.472,0.5163208351160253,0.42,3.691877704637668,leaf_dry_wgt_g,1.267924861303328,TRUE,both
726_10_baviaanskloof,726_10_baviaanskloof_ASH,4,Cotyledon woodii,0.4,6.60810814539034,1.105,1.145788095560802,0.442,1.578449193762482,leaf_dry_wgt_g,1.1811515133313575,TRUE,both
721_10_baviaanskloof,721_10_baviaanskloof_HK,1,Crassula biplanata,0.382716049,5.615350780339264,0.162,3.1949392085956423,0.062,0.6504155622097723,leaf_fresh_wgt_g,1.0924905029774568,TRUE,both
805_8_htr,805_8_htr_MAL,3,Pteronia glabrata,0.101208459,3.218481795393853,0.662,1.7309600432235486,0.067,0.042435266320396646,leaf_fresh_wgt_g,0.737304817559987,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,10,Ruschia aspera,0.531330472,3.06603812546613,1.165,0.001237833658853792,0.619,1.5256027496248044,leaf_dry_wgt_g,0.5470881417640407,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,5,Ruschia aspera,0.523809524,3.0226385567930794,0.273,2.0945949322806436,0.143,0.7043148078758908,leaf_fresh_wgt_g,0.5470881417640407,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,8,Ruschia aspera,0.508407517,2.933761401878659,1.011,0.20578479129748187,0.514,1.257431699604418,leaf_dry_wgt_g,0.5470881417640407,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,6,Ruschia aspera,0.496368039,2.8642876929461307,0.826,0.497354101781051,0.41,0.9312872499159857,leaf_dry_wgt_g,0.5470881417640407,TRUE,both
620_4_hangklip,620_4_hangklip_HKM,2,Ficinia ramosissima,0.933333333,2.488115943171046,0.015,1.432959407276106,0.014,0.0995356735509144,leaf_fresh_wgt_g,0.5074495375091267,TRUE,both
820_13_htr,820_13_htr_MAL,1,Arctotheca calendula,0.232600733,2.428534165410971,0.546,1.869054267167311,0.127,0.47074693186513145,leaf_fresh_wgt_g,0.564468567229184,TRUE,both
818_41_htr,818_41_htr_EPO,3,Gymnodiscus capillaris,0.113636364,2.267239788849456,0.044,1.288761230952163,0.005,0,leaf_fresh_wgt_g,0.5316305901000272,TRUE,both
804_18_cape_point,804_18_cape_point_a,3,Pentameris curvifolia,0.731707317,2.2391043599904736,0.041,3.4941970367979738,0.03,0.7224660244710913,leaf_fresh_wgt_g,0.7709168707905295,TRUE,both
721_42_cape_point,721_42_cape_point_b,3,Metalasia muricata,0.515151515,2.183059166585935,0.132,2.4791678366985592,0.068,0.3459958548491926,leaf_fresh_wgt_g,0.7632671604418163,TRUE,both
729_22_cape_point,729_22_cape_point_b,1,Leucadendron coniferum,0.465,2.179436759206223,0.2,1.7420062108667362,0.093,1.031364170909335,leaf_fresh_wgt_g,0.7690243254173456,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,9,Ruschia aspera,0.374663073,2.161990186066911,0.371,1.6520766965796931,0.139,0.7452450719307726,leaf_fresh_wgt_g,0.5470881417640407,TRUE,both
725_48_cape_point,725_48_cape_point_c,2,Lobelia pinifolia,0.343137255,2.160493826577503,0.102,1.906890595608519,0.035,0.5443205162238104,leaf_fresh_wgt_g,0.7402297056081633,TRUE,both
721_28_cape_point,721_28_cape_point_b,3,Tetraria flexuosa,0.404255319,2.160392799294182,0.235,1.1347103088582544,0.095,1.3410369178350672,leaf_dry_wgt_g,0.7645872181797506,TRUE,both
620_9_hangklip,620_9_hangklip_HKM,3,Carpobrotus acinaciformis,0.429405738,2.0940822035029347,9.76,1.1220948696448219,4.191,2.1001259139359045,leaf_dry_wgt_g,0.587298920018127,TRUE,both
701_13_baviaanskloof,701_13_baviaanskloof_KE,2,Aristida congesta,0.585365854,2.0610486352211037,0.041,1.2349050326499966,0.024,0.5405683813627028,leaf_fresh_wgt_g,0.7213846435047412,TRUE,both
724_15_cederberg,724_15_cederberg_SM,4,Aspalathus polycephala,0.574712644,2.055033090293024,0.087,3.0246620542342693,0.05,1.6780719051126376,leaf_fresh_wgt_g,0.42512373357798605,TRUE,both
723_15_cape_point,723_15_cape_point_c,1,Diastella divaricata,0.42,2.0481218268116326,0.05,1.713695814843359,0.021,0.36257007938470803,leaf_fresh_wgt_g,0.5107856560253987,TRUE,both
806_22_htr,806_22_htr_EPO,4,Cephalophyllum framesii,0.365935919,2.033064885105496,0.593,0.1921888416952302,0.217,0.778557657750169,leaf_dry_wgt_g,0.3910772288249725,TRUE,both
724_15_cederberg,724_15_cederberg_SM,5,Aspalathus polycephala,0.5625,2.0113636359979337,0.08,3.145677455195635,0.045,1.8300749985576876,leaf_fresh_wgt_g,0.42512373357798605,TRUE,both
802_1_cederberg,802_1_cederberg_JL,4,Asparagus retrofractus,0.673815461,2.0090419093312524,0.401,0.7226459228491395,0.2702,1.7273866173541887,leaf_dry_wgt_g,0.365996649899425,TRUE,both
724_15_cederberg,724_15_cederberg_SM,2,Aspalathus polycephala,0.560747664,2.0050977072718004,0.107,2.7261385636818507,0.06,1.415037499278844,leaf_fresh_wgt_g,0.42512373357798605,TRUE,both
724_15_cederberg,724_15_cederberg_SM,1,Aspalathus polycephala,0.56043956,2.0039960020598793,0.091,2.9598109098843013,0.051,1.6495027529158668,leaf_fresh_wgt_g,0.42512373357798605,TRUE,both
625_7_hangklip,625_7_hangklip_EFG,4,Crassula capensis,0.150887574,2.0022224641865756,0.338,0.4256690510087304,0.051,0.5639008851933263,leaf_dry_wgt_g,0.3954467892382726,TRUE,both
820_13_htr,820_13_htr_MAL,3,Arctotheca calendula,0.084413627,0.49692550196458457,3.317,2.4453648788816897,0.28,1.4926583964013178,leaf_fresh_wgt_g,0.564468567229184,TRUE,both
625_11_hangklip,625_11_hangklip_ET,6,Gnidia oppositifolia,0.208588957,0.49038461549764234,0.163,0.860725211397872,0.034,1.9012218455218264,leaf_dry_wgt_g,0.3255794208777926,TRUE,both
620_10_hangklip,620_10_hangklip_HKM,3,Othonna quinquedentata,0.070446735,0.48942064766608284,0.582,1.2647891955679078,0.041,2.407319586118007,leaf_dry_wgt_g,0.32332239519153394,TRUE,both
724_9_cederberg,724_9_cederberg_SM,5,Solanum tomentosum,0.280748663,0.48835778799284313,0.748,0.415037499278844,0.21,0.5572175102382518,leaf_dry_wgt_g,0.358914158239017,TRUE,both
