NewUID,sample_id,replicate,ScientificName_WFO,leaf_thickness_mm,measure_ratio,cv,flag_high_cv,confidence
729_8_htr,729_8_htr_BHR,1S,Euphorbia mauritanica,9.4,23.44139650872818,1.013899631961887,TRUE,both
729_8_htr,729_8_htr_BHR,2S,Euphorbia mauritanica,7.8,19.45137157107232,1.013899631961887,TRUE,both
729_8_htr,729_8_htr_BHR,3S,Euphorbia mauritanica,7.1,17.70573566084788,1.013899631961887,TRUE,both
710_25_langeberg,710_25_langeberg_CM,2,Cliffortia dentata,0.94,12.876712328767123,1.2103881131070813,TRUE,both
812_29_cape_point,812_29_cape_point_a,1,Erica hirtiflora,0.819,9.86746987951807,1.431452288233103,TRUE,both
719_4_baviaanskloof,719_4_baviaanskloof_JAS,3,Leucadendron uliginosum,5.25,9.831460674157302,1.292875414126375,TRUE,both
702_6_baviaanskloof,702_6_baviaanskloof_DEB,2,Themeda triandra,2.68,9.781021897810218,1.291030018790445,TRUE,both
701_37_baviaanskloof,701_37_baviaanskloof_KE,1,Aspalathus kougaensis,0.299,8.542857142857141,1.2398573902160026,TRUE,both
709_31_baviaanskloof,709_31_baviaanskloof_TEM,1,Enneapogon scoparius,0.9,6.741573033707865,1.1376330688811072,TRUE,both
725_8_cederberg,725_8_cederberg_JL,3,Agathosma capensis,0.5,6.329113924050633,0.9954797616746366,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,7,Ruschia aspera,2.513,6.114355231143552,0.7955026025488484,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,1,Ruschia aspera,2.417,5.880778588807786,0.7955026025488484,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,3,Ruschia aspera,2.37,5.766423357664234,0.7955026025488484,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,4,Ruschia aspera,2.241,5.452554744525548,0.7955026025488484,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,2,Ruschia aspera,2.216,5.3917274939172755,0.7955026025488484,TRUE,both
709_26_langeberg,709_26_langeberg_JAS,4,Brunia noduliflora,0.241,4.819999999999999,0.9233298932676134,TRUE,both
619_25_hangklip,619_25_hangklip_JS,4,Erica placentiflora,1.4859,4.3019687319050375,1.0515629736770118,TRUE,both
724_19_cederberg,724_19_cederberg_SM,3s,Thesium strictum,3.376,4.284263959390863,0.6497549132524678,TRUE,both
824_20_htr,824_20_htr_RDG,1S,Thesium horridum,2.541,4.22093023255814,0.7782466859082173,TRUE,both
824_22_htr,824_22_htr_RDG,2,Osteospermum leptolobum,0.709,3.9831460674157304,0.8466148834499587,TRUE,both
725_8_cederberg,725_8_cederberg_JL,2,Agathosma capensis,0.3,3.7974683544303796,0.9954797616746366,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,4C,Ficinia nigrescens,1.077,3.778947368421053,0.7121210091096389,TRUE,both
725_7_cape_point,725_7_cape_point_c,3,Berzelia abrotanoides,0.0423,3.7433628318584065,0.8628398081006552,TRUE,both
709_26_langeberg,709_26_langeberg_JAS,5,Brunia noduliflora,0.187,3.7399999999999998,0.9233298932676134,TRUE,both
807_6_htr,807_6_htr_HKM,4,Lycium amoenum,1.528,3.6598802395209584,0.7515510221259037,TRUE,both
710_17_langeberg,710_17_langeberg_CM,4,Erica,0.172,3.621052631578947,0.752209505773644,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,1C,Ficinia nigrescens,1.01,3.5438596491228074,0.7121210091096389,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,2C,Ficinia nigrescens,1.005,3.526315789473684,0.7121210091096389,TRUE,both
709_1_langeberg,709_1_langeberg_JAS,4,Erica gracilis,0.033,3.473684210526316,0.747294502906367,TRUE,both
824_20_htr,824_20_htr_RDG,3S,Thesium horridum,2.053,3.410299003322259,0.7782466859082173,TRUE,both
815_14_htr,815_14_htr_BHR,1,Ehrharta ramosa subsp. ramosa,0.99,3.2090761750405186,0.7353432866114002,TRUE,both
620_42_hangklip,620_42_hangklip_CM,1C,Ficinia nigrescens,1.41,3.1403118040089084,0.5891099278607981,TRUE,both
724_19_cederberg,724_19_cederberg_SM,4s,Thesium strictum,2.434,3.0888324873096447,0.6497549132524678,TRUE,both
824_20_htr,824_20_htr_RDG,2S,Thesium horridum,1.738,2.8870431893687707,0.7782466859082173,TRUE,both
708_14_langeberg,708_14_langeberg_EFG,3,Stoebe cinerea,0.05,2.857142857142857,0.6444300943544022,TRUE,both
724_19_cederberg,724_19_cederberg_SM,2s,Thesium strictum,2.246,2.850253807106599,0.6497549132524678,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,3C,Ficinia nigrescens,0.8,2.8070175438596494,0.7121210091096389,TRUE,both
818_72_htr,818_72_htr_EPO,3,Adenogramma glomerata,0.7,2.8,0.6614378277661476,TRUE,both
705_17_langeberg,705_17_langeberg_CM,5C,Tetraria fimbriolata,1.13,2.790123456790123,0.5912110269602247,TRUE,both
730_14_cederberg,730_14_cederberg_JS,4c,Schoenus compar,1.455,2.7873563218390807,0.48399624331440344,TRUE,both
724_19_cederberg,724_19_cederberg_SM,5s,Thesium strictum,2.141,2.717005076142132,0.6497549132524678,TRUE,both
705_17_langeberg,705_17_langeberg_CM,3C,Tetraria fimbriolata,1.092,2.696296296296296,0.5912110269602247,TRUE,both
826_9_htr,826_9_htr_BHR,1,Tribolium tenellum,0.4,2.6666666666666665,0.6546536707079771,TRUE,both
705_17_langeberg,705_17_langeberg_CM,1C,Tetraria fimbriolata,1.08,2.6666666666666665,0.5912110269602247,TRUE,both
804_16_cape_point,804_16_cape_point_a,3,Roella triflora,0.232,2.6363636363636367,0.606631216890838,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,5C,Ficinia nigrescens,0.74,2.5964912280701755,0.7121210091096389,TRUE,both
724_19_cederberg,724_19_cederberg_SM,1s,Thesium strictum,2.036,2.583756345177665,0.6497549132524678,TRUE,both
802_1_cederberg,802_1_cederberg_JL,2,Asparagus retrofractus,0.207,2.571428571428571,0.5170258171508224,TRUE,both
705_17_langeberg,705_17_langeberg_CM,2C,Tetraria fimbriolata,1.041,2.57037037037037,0.5912110269602247,TRUE,both
730_14_cederberg,730_14_cederberg_JS,5c,Schoenus compar,1.341,2.568965517241379,0.48399624331440344,TRUE,both
804_19_htr,804_19_htr_RDG,2,Helichrysum asperum,0.271,2.556603773584906,0.6189528853887553,TRUE,both
804_15_htr,804_15_htr_RDG,3,Chrysocoma ciliata,0.479,2.5144356955380576,0.612448604923103,TRUE,both
708_3_langeberg,708_3_langeberg_EFG,5,Erica anguliger,0.121,2.4948453608247423,0.6139768932634836,TRUE,both
825_2_htr,825_2_htr_NRS,3,Eriocephalus namaquensis,0.742,2.4288052373158755,0.5590354080119386,TRUE,both
711_8_langeberg,711_8_langeberg_HKM,5,Erica calycina,0.114,2.425531914893617,0.5958151347024381,TRUE,both
731_24_htr,731_24_htr_HKM,2,Chrysocoma ciliata,0.186,2.4155844155844157,0.6983606607310777,TRUE,both
721_59_cape_point,721_59_cape_point_b,1,Tetraria fimbriolata,0.955,2.3815461346633415,0.5475434167277122,TRUE,both
621_37_hangklip,621_37_hangklip_CC,4,Erica perspicua,0.106,2.3555555555555556,0.6068926335548221,TRUE,both
710_33_baviaanskloof,710_33_baviaanskloof_HK,1,Thesium nigromontanum,2,2.352941176470588,0.5398644420388696,TRUE,both
725_12_cape_point,725_12_cape_point_c,1,Aspalathus retroflexa,0.0089,2.3421052631578947,0.5353611587031075,TRUE,both
726_29_baviaanskloof,726_29_baviaanskloof_ASH,1,Hertia kraussii,1.141,2.3097165991902835,0.5277409169849469,TRUE,both
826_13_htr,826_13_htr_BHR,2,Tetragonia microptera,1.5,2.3076923076923075,0.5498144399407375,TRUE,both
801_5_cederberg,801_5_cederberg_EFG,3c,Ficinia cedarbergensis,1.209,2.3072519083969465,0.45666986156329875,TRUE,both
801_5_cederberg,801_5_cederberg_EFG,1c,Ficinia cedarbergensis,1.207,2.303435114503817,0.45666986156329875,TRUE,both
711_8_langeberg,711_8_langeberg_HKM,4,Erica calycina,0.108,2.2978723404255317,0.5958151347024381,TRUE,both
812_30_cape_point,812_30_cape_point_a,5,Stoebe incana,0.189,2.290909090909091,0.4418803653594717,TRUE,both
705_17_langeberg,705_17_langeberg_CM,4C,Tetraria fimbriolata,0.918,2.2666666666666666,0.5912110269602247,TRUE,both
725_34_cape_point,725_34_cape_point_c,2,Drosera trinervia,0.231,2.2647058823529416,0.5478484971355233,TRUE,both
811_22_htr,811_22_htr_HKM,3,Geissorhiza corrugata,1.314,2.251928020565553,0.44598530781809076,TRUE,both
814_12_htr,814_12_htr_RDG,1,Senecio cardaminifolius,0.884,2.2493638676844783,0.5140403807075435,TRUE,both
731_23_htr,731_23_htr_HKM,5,Oedera corymbosa,0.356,2.225,0.5157400260382521,TRUE,both
802_10_cape_point,802_10_cape_point_b,2,Erica laeta,0.181,2.2208588957055215,0.4337386487661041,TRUE,both
712_33_baviaanskloof,712_33_baviaanskloof_JL,1,Polygala illepida,0.379,2.2034883720930236,0.5034958111906229,TRUE,both
815_6_htr,815_6_htr_BHR,3,Erica inaequalis,0.265,2.199170124481328,0.5844157889998742,TRUE,both
804_14_htr,804_14_htr_RDG,1,Selago subspinosa,0.279,2.1796875,0.4991704184413062,TRUE,both
727_34_cape_point,727_34_cape_point_b,1,Berzelia lanuginosa,0.097,2.1748878923766815,0.8261415993563465,TRUE,both
705_26_langeberg,705_26_langeberg_CM,5,Paranomus spathulatus,1.1,2.16322517207473,0.4135808771420374,TRUE,both
812_28_cape_point,812_28_cape_point_a,3,Watsonia meriana,1.284,2.1543624161073827,0.39676320231200524,TRUE,both
730_20_cederberg,730_20_cederberg_JS,2,Stoebe rhinocerotis,0.183,2.1529411764705886,0.5134925064534179,TRUE,both
620_13_hangklip,620_13_hangklip_HKM,4,Osyris compressa,1.255,2.150814053127678,0.40943907802331325,TRUE,both
620_42_hangklip,620_42_hangklip_CM,2C,Ficinia nigrescens,0.965,2.1492204899777283,0.5891099278607981,TRUE,both
807_24_htr,807_24_htr_HKM,1,Felicia hirta,0.331,2.1015873015873017,0.44990595587173965,TRUE,both
730_22_cederberg,730_22_cederberg_JS,1,Lachnaea globulifera,0.541,2.0968992248062017,0.38030654493526767,TRUE,both
706_24_langeberg,706_24_langeberg_HKM,4,Erica calycina,0.289,2.086642599277978,0.4398318975448483,TRUE,both
711_19_langeberg,711_19_langeberg_HKM,4,Cliffortia filicaulis,0.195,2.085561497326203,0.47690178828466684,TRUE,both
723_10_cederberg,723_10_cederberg_JS,5C,Ficinia nigrescens,0.585,2.0598591549295775,0.46308725034214915,TRUE,both
703_24_langeberg,703_24_langeberg_HKM,1,Erica melanthera,0.278,2.0516605166051662,0.41032280610473537,TRUE,both
813_13_htr,813_13_htr_MAL,1,Eriocephalus purpureus,0.284,2.050541516245487,0.39750458601709754,TRUE,both
723_10_cederberg,723_10_cederberg_JS,4C,Ficinia nigrescens,0.582,2.0492957746478875,0.46308725034214915,TRUE,both
723_10_cederberg,723_10_cederberg_JS,2C,Ficinia nigrescens,0.58,2.0422535211267605,0.46308725034214915,TRUE,both
703_28_baviaanskloof,703_28_baviaanskloof_JL,2,Pelargonium peltatum,0.905,2.031425364758698,0.45851918450628076,TRUE,both
724_9_cederberg,724_9_cederberg_SM,8,Solanum tomentosum,0.854,2.018912529550827,0.3808997579939059,TRUE,both
801_5_cederberg,801_5_cederberg_EFG,5c,Ficinia cedarbergensis,1.057,2.0171755725190836,0.45666986156329875,TRUE,both
801_10_htr,801_10_htr_MAL,2,Lapeirousia plicata,0.697,2.0028735632183907,0.49439812995384425,TRUE,both
620_39_hangklip,620_39_hangklip_CM,5,Hermas villosa,0.31,0.49206349206349204,0.39561540136196477,TRUE,both
621_37_hangklip,621_37_hangklip_CC,9,Erica perspicua,0.025,0.4901960784313726,0.6068926335548221,TRUE,both
725_29_cape_point,725_29_cape_point_c,2,Stoebe scabra,0.008,0.48484848484848486,0.4029929668745928,TRUE,both
803_21_cape_point,803_21_cape_point_b,2,Euryops abrotanifolius,0.456,0.48305084745762716,0.38004843378746594,TRUE,both
820_28_htr,820_28_htr_MAL,3,Eriocephalus namaquensis,0.137,0.479020979020979,0.38211546545753544,TRUE,both
730_14_cederberg,730_14_cederberg_JS,5l,Schoenus compar,0.447,0.4780748663101604,0.48399624331440344,TRUE,both
731_3_htr,731_3_htr_HKM,1,Asparagus capensis,0.156,0.4748858447488584,0.43985797069206345,TRUE,both
814_27_htr,814_27_htr_RDG,3,Eriocephalus namaquensis,0.161,0.4728340675477239,0.4568403678947366,TRUE,both
723_10_cederberg,723_10_cederberg_JS,4L,Ficinia nigrescens,0.222,0.4703389830508475,0.46308725034214915,TRUE,both
725_6_cape_point,725_6_cape_point_c,2,Staavia radiata,0.011,0.4680851063829787,0.39504962887550343,TRUE,both
709_4_langeberg,709_4_langeberg_JAS,3L,Schoenus compar,0.377,0.4648581997533908,0.3962930722717485,TRUE,both
801_17_htr,801_17_htr_MAL,1,Eriocephalus ericoides,0.142,0.459546925566343,0.4216915382867007,TRUE,both
627_9_hangklip,627_9_hangklip_CM,5,Grubbia tomentosa,0.361,0.45812182741116747,0.3914621767962484,TRUE,both
804_14_cape_point,804_14_cape_point_a,2,Ifloga ambigua,0.121,0.4540337711069418,0.4318509517276048,TRUE,both
804_26_cape_point,804_26_cape_point_a,4,Microdon dubius,0.327,0.450723638869745,0.45396584520738886,TRUE,both
