NewUID,sample_id,replicate,ScientificName_WFO,twig_fwc,trait_ratio,twig_fresh_g,comp1_dev,twig_dry_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
702_30_langeberg,702_30_langeberg_CM,2,Berzelia abrotanoides,38,44.84438145526574,1.248,0.6262982553885867,0.032,3.714245517666123,twig_dry_g,2.007943632779235,TRUE,both
726_25_baviaanskloof,726_25_baviaanskloof_ASH,2,Asparagus africanus,13.75,28.876266511605383,0.177,0.5250910447437576,0.012,2.7900769306257684,twig_dry_g,1.5638233319292085,TRUE,both
804_4_cape_point,804_4_cape_point_a,1,Erica subcapitata,14.46875,25.492750486361597,0.99,2.73211619450481,0.064,0.6582114827517948,twig_fresh_g,1.543320843660735,TRUE,both
719_1_baviaanskloof,719_1_baviaanskloof_JAS,2,Protea eximia,28.98529412,22.836156829366974,2.039,0.1599653113618546,0.068,3.618169546111075,twig_dry_g,1.5231562578674847,TRUE,both
727_43_baviaanskloof,727_43_baviaanskloof_HK,1,Hypodiscus alboaristatus,18.78922717,21.23255370059836,8.45,3.020981272757492,0.427,0.36912481597089214,twig_fresh_g,1.5084077901756257,TRUE,both
727_35_baviaanskloof,727_35_baviaanskloof_HK,3,Erica passerina,14.64102564,20.841281962076074,2.44,3.075245894461012,0.156,0.13666254731056388,twig_fresh_g,1.5047943557789494,TRUE,both
626_4_hangklip,626_4_hangklip_TEM,2,Restio subverticillatus,15.74651811,19.947472834276887,3.006,0.026393673837510692,0.1795,3.2557321551125833,twig_dry_g,1.495305699077586,TRUE,both
723_3_baviaanskloof,723_3_baviaanskloof_TEM,2,Stoebe plumosa,0.896,19.712000197120002,0.237,0.7802187921200899,0.125,0.0786098346963665,twig_fresh_g,1.2776537372558916,TRUE,both
805_1_htr,805_1_htr_MAL,2,Caroxylon aphyllum,7.45045045,19.498363556143964,0.938,1.224187934998062,0.111,1.3879784870544227,twig_dry_g,1.4903509083413788,TRUE,both
621_40_hangklip,621_40_hangklip_CC,4,Carpacoce heteromorpha,19.6504065,17.878061364638473,2.54,2.503257859601924,0.123,0.8223570853968507,twig_fresh_g,1.7427541523247998,TRUE,both
711_13_langeberg,711_13_langeberg_HKM,2,Othonna quinquedentata,34.04201681,16.965926607120277,0.417,0.1050606014745977,0.0119,3.771850077382412,twig_dry_g,1.6848874147020472,TRUE,both
805_33_htr,805_33_htr_MAL,1,Euphorbia lathyris,27.46491228,16.72197585459344,3.245,0.7065379160812894,0.114,2.7216988375128954,twig_dry_g,1.454508534858829,TRUE,both
815_12_htr,815_12_htr_BHR,3,Restio monanthos,11.65060241,16.36541572165433,1.05,0.5018707300988544,0.083,2.3831837833798,twig_dry_g,1.4491284855954172,TRUE,both
813_9_htr,813_9_htr_MAL,1,Cotula nudicaulis,63.28571429,15.43554007073171,0.045,0.20645087746742624,7e-4,3.5145731728297585,twig_dry_g,1.6600729907137832,TRUE,both
715_24_baviaanskloof,715_24_baviaanskloof_DEB,1,Protea eximia,22.84126984,14.574327897472928,1.502,0.7776876194436713,0.063,3.9942636304508556,twig_dry_g,1.4186940723019807,TRUE,both
702_34_baviaanskloof,702_34_baviaanskloof_DEB,2,Clutia polifolia,11.95555556,13.209186676999465,1.166,3.215808519249724,0.09,0.4584300947922243,twig_fresh_g,1.3904139932251292,TRUE,both
814_9_htr,814_9_htr_RDG,5,Romulea tortuosa,52.63636364,9.232200199771357,0.59,3.3465901491216314,0.011,0.289506617194985,twig_fresh_g,1.3879497015722724,TRUE,both
731_7_htr,731_7_htr_HKM,1,Hesperantha luticola,72.75,8.840506329292973,0.059,0.11735695063815892,8e-4,3.1292830169449664,twig_dry_g,1.3321838834402508,TRUE,both
702_16_langeberg,702_16_langeberg_TEM,1,Lobelia neglecta,14.55555556,8.683042984890195,0.14,0.1462894422506564,0.009,2.4882864813094825,twig_dry_g,1.3453635651609093,TRUE,both
724_9_cederberg,724_9_cederberg_SM,6,Solanum tomentosum,5.289156627,7.757578544607003,0.522,0.030726515632263224,0.083,1.5674750739923151,twig_dry_g,1.008398256800221,TRUE,both
709_12_baviaanskloof,709_12_baviaanskloof_TEM,1,Pelargonium tetragonum,63.36842105,6.726801619205591,1.223,0.23363927191191103,0.019,2.860596943334584,twig_dry_g,1.0481594996266275,TRUE,both
812_1_cape_point,812_1_cape_point_a,1,Erica imbricata,3.381818182,6.17066545841631,0.241,0.4616782243976329,0.055,1.0324214776923775,twig_dry_g,1.0967931672645277,TRUE,both
625_1_hangklip,625_1_hangklip_ET,5,Restio capensis,4,5.612244899748802,0.04,0.2779847472997654,0.008,1.8328900141647417,twig_dry_g,1.094478076421267,TRUE,both
815_10_htr,815_10_htr_BHR,2,Oxalis obtusa,14,5.24999999934375,0.015,0.4474589769712214,0.001,1.5849625007211563,twig_dry_g,0.961665222366187,TRUE,both
724_14_cederberg,724_14_cederberg_SM,3,Othonna quinquedentata,6.051428571,5.199971284889445,3.702,2.305267271411823,0.525,0.5890903863438328,twig_fresh_g,0.6851872552613423,TRUE,both
815_17_htr,815_17_htr_BHR,3,Ficinia bulbosa,4.714285714,5.091428570712686,0.08,0.6214883767462702,0.014,0.9475325801058645,twig_dry_g,0.9498845315206048,TRUE,both
629_4_hangklip,629_4_hangklip_EFG,3,Asparagus rubicundus,4.166666667,4.9499625897766375,0.186,0.40987579416306485,0.036,1,twig_dry_g,0.9807859569960583,TRUE,both
723_10_cape_point,723_10_cape_point_a,2,Coleonema album,2.125,4.937725694001703,0.35,0.9434164716336324,0.112,0.33730332077427827,twig_fresh_g,1.0525414087738716,TRUE,both
628_19_hangklip,628_19_hangklip_HKM,3,Merciera tenuifolia,4.641791045,4.775015849456003,0.756,1.1297005238328142,0.134,0.445663463309607,twig_fresh_g,0.9823524250243076,TRUE,both
723_2_cape_point,723_2_cape_point_c,3,Osmitopsis asteriscoides,8.035294118,4.654880731901997,0.768,0.8068853711857978,0.085,0.9872138450441564,twig_dry_g,0.9828869640365586,TRUE,both
702_39_langeberg,702_39_langeberg_CM,2,Capeobolus brevicaulis,2.866666667,4.599577762933122,0.058,1.6136942192644723,0.015,2.584962500721156,twig_dry_g,0.7987123747020852,TRUE,both
804_20_htr,804_20_htr_RDG,2,Osteospermum scariosum,2.014925373,4.574546649581415,0.202,1.8456142552439558,0.067,2.9054543634929995,twig_dry_g,0.9420060417247648,TRUE,both
723_2_baviaanskloof,723_2_baviaanskloof_TEM,3,Erica cordata,2.633333333,4.573761367135113,0.327,1.081683797593708,0.09,0.16635838642212017,twig_fresh_g,0.9501532356677995,TRUE,both
724_14_cederberg,724_14_cederberg_SM,8,Othonna quinquedentata,5.020992366,4.314521078538418,3.155,2.07460238141116,0.524,0.5863397753277981,twig_fresh_g,0.6851872552613423,TRUE,both
704_7_langeberg,704_7_langeberg_TEM,2,Ehrharta setacea,3.611111111,4.269737783559108,0.083,0.9912827828988906,0.018,2.3058084295240855,twig_dry_g,0.8686957276835315,TRUE,both
625_13_hangklip,625_13_hangklip_ET,2,Cliffortia heterophylla,6.189189189,4.22107618289617,0.532,0.16806182003280457,0.074,1.3755091350922066,twig_dry_g,0.9064328418581094,TRUE,both
724_15_cederberg,724_15_cederberg_SM,10,Aspalathus polycephala,3.119170984,4.13079400483305,0.795,1.377423207479066,0.193,0.10864126000382403,twig_fresh_g,0.6569933134610385,TRUE,both
724_15_cederberg,724_15_cederberg_SM,8,Aspalathus polycephala,3.109170306,4.117549863701137,0.941,1.6206630700358848,0.229,0.35538801083268756,twig_fresh_g,0.6569933134610385,TRUE,both
724_15_cederberg,724_15_cederberg_SM,9,Aspalathus polycephala,3.109131403,4.11749834351196,1.845,2.5920172582551064,0.449,1.3267558574768905,twig_fresh_g,0.6569933134610385,TRUE,both
717_20_baviaanskloof,717_20_baviaanskloof_DEB,1,Hypodiscus aristatus,4.348031496,3.9678259537105247,3.396,0.12901089110633202,0.635,1.2222301293017541,twig_dry_g,0.8615515188329688,TRUE,both
629_11_hangklip,629_11_hangklip_EFG,1,Metalasia densa,2.580645161,3.8846999869694883,0.111,0.17712768760066605,0.031,1.2649722100752863,twig_dry_g,0.7982900732075798,TRUE,both
703_4_baviaanskloof,703_4_baviaanskloof_JL,1,Azima tetracantha,6.345454545,3.8777777783617284,0.808,1.0997907694831306,0.11,0.3785116232537297,twig_fresh_g,0.8343537874376002,TRUE,both
724_9_cederberg,724_9_cederberg_SM,3,Solanum tomentosum,2.602409639,3.816940696504895,0.598,0.33830530085870997,0.166,0.5674750739923151,twig_dry_g,1.008398256800221,TRUE,both
730_11_htr,730_11_htr_RDG,3,Ehrharta melicoides,2.476190476,3.8141903097051038,0.219,1.0114825680472925,0.063,2.056143078037534,twig_dry_g,0.8395879753663932,TRUE,both
703_5_baviaanskloof,703_5_baviaanskloof_HK,1,Restio gaudichaudianus,1.401485365,3.8013876126467308,10.994,2.266134660433727,4.578,1.482341790012927,twig_fresh_g,0.8392247749672784,TRUE,both
710_5_langeberg,710_5_langeberg_CM,4,Cullumia aculeata,2.7288135590000002,3.736238956936099,0.22,0.5936797178222651,0.059,1.972225333898395,twig_dry_g,0.9570131828829838,TRUE,both
808_22_htr,808_22_htr_EPO,2,Zaluzianskya violacea,99,3.683720930232558,0.2,0.8429562898544201,0.002,1,twig_dry_g,0.904108303917226,TRUE,both
724_15_cederberg,724_15_cederberg_SM,6,Aspalathus polycephala,2.659574468,3.522139159467588,1.376,2.168876912009446,0.376,1.070773074413381,twig_fresh_g,0.6569933134610385,TRUE,both
718_13_baviaanskloof,718_13_baviaanskloof_JL,1,Themeda triandra,1.265306122,3.483022711701796,0.111,1.1505596765753812,0.049,0.40525647848625845,twig_fresh_g,0.7871814574137586,TRUE,both
625_11_hangklip,625_11_hangklip_ET,4,Gnidia oppositifolia,2.6875,3.4374999992005817,0.118,1.2310991166873473,0.032,1.8328900141647417,twig_dry_g,0.6247035457718452,TRUE,both
703_3_langeberg,703_3_langeberg_EFG,3,Leucadendron spissifolium,3.525714286,3.349450549454725,0.792,0.43706380560884284,0.175,1.0840642647884746,twig_dry_g,0.9490426120353901,TRUE,both
724_14_cederberg,724_14_cederberg_SM,5,Othonna quinquedentata,3.891390728,3.3438583644293396,3.693,2.3017556387468625,0.755,1.1132496080027892,twig_fresh_g,0.6851872552613423,TRUE,both
811_14_htr,811_14_htr_HKM,3,Senecio cardaminifolius,10.94444444,3.271036203077601,0.215,0.5883215128110707,0.018,0.8744691179161412,twig_dry_g,0.7463900648069105,TRUE,both
724_14_cederberg,724_14_cederberg_SM,1,Othonna quinquedentata,3.58490566,3.080496823571884,4.131,2.4634534363973692,0.901,1.3683000696038865,twig_fresh_g,0.6851872552613423,TRUE,both
702_39_langeberg,702_39_langeberg_CM,3,Capeobolus brevicaulis,1.855072464,2.9764709487389993,0.197,0.45714489278068826,0.069,0.38332863955150553,twig_fresh_g,0.7987123747020852,TRUE,both
805_20_htr,805_20_htr_MAL,5,Malephora crassa,2.053254438,2.9543567905781827,0.516,0.14394851571359238,0.169,0.6971526466783424,twig_dry_g,0.6451748163040897,TRUE,both
815_23_htr,815_23_htr_BHR,1,Ehrharta bulbosa,1.818181818,2.914072228529965,0.062,0.2937312030567103,0.022,1.0641303374197157,twig_dry_g,0.6779574701458594,TRUE,both
804_1_cape_point,804_1_cape_point_a,2,Metalasia cephalotes,2.2,2.908404154588442,0.288,0.027817944139762286,0.09,0.8744691179161412,twig_dry_g,0.6753833543431265,TRUE,both
717_37_baviaanskloof,717_37_baviaanskloof_DEB,2,Tetraria ustulata,1.607142857,2.906504064503984,0.146,1.3040308903608056,0.056,1.889612604176683,twig_dry_g,0.7470413139776472,TRUE,both
724_15_cederberg,724_15_cederberg_SM,3,Aspalathus polycephala,2.167530225,2.870512999977443,1.834,2.5833900809024026,0.579,1.69360376072498,twig_fresh_g,0.6569933134610385,TRUE,both
621_15_hangklip,621_15_hangklip_CC,3,Capeochloa cincta,4.817767654,2.8649896755240007,2.554,0.015047432912346833,0.439,1.2176900213424433,twig_dry_g,0.8181409645660506,TRUE,both
702_8_langeberg,702_8_langeberg_TEM,2,Helichrysum cymosum,2.153846154,2.812516496802955,0.082,1.7404800783424432,0.026,2.5756846871331454,twig_dry_g,0.6547685585913077,TRUE,both
816_18_cape_point,816_18_cape_point_c,1,Lobelia setacea,6,2.765087281685184,0.049,0.7861695921669759,0.007,2.192645077942396,twig_dry_g,0.8081618054891422,TRUE,both
627_1_hangklip,627_1_hangklip_CM,5,Penaea petraea,1.818181818,2.726306772655264,0.093,0.5269303793497411,0.033,1.1940106199666254,twig_dry_g,0.6057355073504765,TRUE,both
805_15_htr,805_15_htr_MAL,3,Drosanthemum framesii,2.222222222,2.7113702615760737,0.029,0.8699394594356271,0.009,1.6880559936852597,twig_dry_g,0.635564463722979,TRUE,both
