trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
lma,815_21_htr_BHR,815_21_htr,1,Tenaxia stricta,0.181609195,NA,NA,NA,NA
lma,815_21_htr_BHR,815_21_htr,3,Tenaxia stricta,0.213397129,NA,NA,NA,NA
lma,815_21_htr_BHR,815_21_htr,2,Tenaxia stricta,0.209589041,NA,NA,NA,NA
lma,815_22_htr_BHR,815_22_htr,2,Tribolium uniolae,0.169565217,NA,NA,NA,NA
lma,621_28_hangklip_CC,621_28_hangklip,5,Restio dispar,0.154971838,NA,NA,NA,NA
lma,710_10_langeberg_CM,710_10_langeberg,2,Thamnochortus karooica,0.168317092,NA,NA,NA,NA
lma,710_10_langeberg_CM,710_10_langeberg,1,Thamnochortus karooica,0.163573086,NA,NA,NA,NA
lma,710_10_langeberg_CM,710_10_langeberg,4,Thamnochortus karooica,0.151289063,NA,NA,NA,NA
lma,710_18_langeberg_CM,710_18_langeberg,4,Restio hystrix,0.152827381,NA,NA,NA,NA
lma,710_7_langeberg_CM,710_7_langeberg,4,Willdenowia bolusii,0.160127192,NA,NA,NA,NA
lma,729_1_cederberg_DEB,729_1_cederberg,2,Cannomois parviflora,0.185405187,NA,NA,NA,NA
lma,729_1_cederberg_DEB,729_1_cederberg,3,Cannomois parviflora,0.172410837,NA,NA,NA,NA
lma,729_1_cederberg_DEB,729_1_cederberg,5,Cannomois parviflora,0.159389055,NA,NA,NA,NA
lma,729_11_cederberg_DEB,729_11_cederberg,1,Protea glabra,0.33826087,NA,NA,NA,NA
lma,706_13_langeberg_EFG,706_13_langeberg,3,Elegia galpinii,0.244976077,NA,NA,NA,NA
lma,801_18_cederberg_EFG,801_18_cederberg,1,Bobartia rufa,0.156259649,NA,NA,NA,NA
lma,801_18_cederberg_EFG,801_18_cederberg,3,Bobartia rufa,0.153638622,NA,NA,NA,NA
lma,801_18_cederberg_EFG,801_18_cederberg,4,Bobartia rufa,0.150445779,NA,NA,NA,NA
lma,818_47_htr_EPO,818_47_htr,3,Stipagrostis zeyheri,0.316981132,NA,NA,NA,NA
lma,620_9_hangklip_HKM,620_9_hangklip,3,Carpobrotus acinaciformis,0.276086957,NA,NA,NA,NA
lma,620_9_hangklip_HKM,620_9_hangklip,2,Carpobrotus acinaciformis,0.234725849,NA,NA,NA,NA
lma,708_14_baviaanskloof_KE,708_14_baviaanskloof,2,Rhodocoma fruticosa,0.165627166,NA,NA,NA,NA
lma,804_16_htr_RDG,804_16_htr,3,Pelargonium articulatum,0.001346154,NA,NA,NA,NA
lma,824_20_htr_RDG,824_20_htr,3L,Thesium horridum,0.15336,NA,NA,NA,NA
lma,704_1_langeberg_TEM,704_1_langeberg,3,Elegia mucronata,0.155135836,NA,NA,NA,NA
lma,704_1_langeberg_TEM,704_1_langeberg,1,Elegia mucronata,0.158935111,NA,NA,NA,NA
