scientific_name_original,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,recovery_status,plot,year,subregion,percent_cover,abundance_class,cover_method,plot_percent_cover,relative_percent_cover,original_percent_cover,recode_reason,recode_date
Crassula nudicaulis,Crassula nudicaulis,L.,Crassulaceae,wfo_matched,CP_3,2010,cape_point,0,NA,percent_cover_continuous,47.37,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Manulea cheilanthes,Manulea cheiranthus,(L.) L.,Scrophulariaceae,wfo_matched,CP_12,2010,cape_point,0,NA,percent_cover_continuous,55.68,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Trachyandra hirsutiflora,Trachyandra hirsutiflora,(Adamson) Oberm.,Asphodelaceae,wfo_matched,CP_15,2010,cape_point,0,NA,percent_cover_continuous,101.4,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Hypodiscus willdenowia,Hypodiscus willdenovia,Mast.,Restionaceae,wfo_matched,CP_20,2010,cape_point,0,NA,percent_cover_continuous,58.015,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Macrostylis villosa,Macrostylis villosa,(Thunb.) Sond.,Rutaceae,wfo_matched,CP_28,2010,cape_point,0,NA,percent_cover_continuous,70.435,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Hyobanche sanguinea,Hyobanche sanguinea,L.,Orobanchaceae,wfo_matched,CP_34,2010,cape_point,0,NA,percent_cover_continuous,47,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Drosera trinervia,Drosera trinervia,Spreng.,Droseraceae,wfo_matched,CP_55,2010,cape_point,0,NA,percent_cover_continuous,77.14,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Hyobanche sanguinea,Hyobanche sanguinea,L.,Orobanchaceae,wfo_matched,CP_57,2010,cape_point,0,NA,percent_cover_continuous,72.75,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Trachyandra hirsutiflora,Trachyandra hirsutiflora,(Adamson) Oberm.,Asphodelaceae,wfo_matched,CP_65,2010,cape_point,0,NA,percent_cover_continuous,90.9,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Wachendorfia paniculata,Wachendorfia paniculata,L.,Haemodoraceae,wfo_matched,CP_70,2010,cape_point,0,NA,percent_cover_continuous,101,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Trachyandra hirsutiflora,Trachyandra hirsutiflora,(Adamson) Oberm.,Asphodelaceae,wfo_matched,CP_76,2010,cape_point,0,NA,percent_cover_continuous,70.13,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Disperis capensis,Disperis capensis,(L.) Sw.,Orchidaceae,wfo_matched,CP_88,2010,cape_point,0,NA,percent_cover_continuous,48.02,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Lampranthus promontorii,Lampranthus promontorii,(L.Bolus) N.E.Br.,Aizoaceae,wfo_matched,CP_99,2010,cape_point,0,NA,percent_cover_continuous,66.68,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
Oxalis pocockiae,Oxalis pocockiae,L.Bolus,Oxalidaceae,wfo_matched,HTR_6_nieu,2014,htr,0,NA,percent_cover_continuous,112.6,0,0,No cover estimate assigned by field botanist for trace-abundance individual; reassigned to minimum ordinal-scale value (0.1) per survey convention,2026-08-11
