dataset,subregion,n,mean_d13C,sd_d13C,median_d13C
all_taxa,baviaanskloof,661,-25.502953900953102,4.542045228545851,-26.89697494
cam_excluded,baviaanskloof,615,-25.93253074100813,4.251039177338419,-27.04475672
all_taxa,cape_point,493,-27.900351588945234,1.9975360133191145,-28.06
cam_excluded,cape_point,477,-27.960468204088052,1.9240000773248214,-28.11
all_taxa,cederberg,218,-27.362398802752292,2.422828328595985,-27.604268145
cam_excluded,cederberg,206,-27.495520074563107,2.275491014907957,-27.816063215
all_taxa,hangklip,270,-28.45612781511111,1.8611916713024477,-28.43680078
cam_excluded,hangklip,268,-28.44659072664179,1.8449491234864444,-28.43680078
all_taxa,htr,474,-26.612871865147678,3.9362434884234196,-27.63805725
cam_excluded,htr,413,-27.130642180338985,3.681123188917462,-27.98969826
all_taxa,langeberg,274,-28.07796659080292,2.338614681328931,-28.20528894
cam_excluded,langeberg,273,-28.086040012161174,2.3390811584513846,-28.20580157
