subregion,family_MG,n,pct
baviaanskloof,Asteraceae,91,14.4
baviaanskloof,Poaceae,66,10.5
baviaanskloof,Proteaceae,43,6.8
baviaanskloof,Fabaceae,40,6.3
baviaanskloof,Crassulaceae,35,5.5
baviaanskloof,Restionaceae,35,5.5
baviaanskloof,Ericaceae,28,4.4
baviaanskloof,Geraniaceae,25,4
baviaanskloof,Rutaceae,17,2.7
baviaanskloof,Cyperaceae,16,2.5
baviaanskloof,Malvaceae,14,2.2
baviaanskloof,Thymelaeaceae,13,2.1
baviaanskloof,Euphorbiaceae,12,1.9
baviaanskloof,Santalaceae,12,1.9
baviaanskloof,Aizoaceae,11,1.7
baviaanskloof,Anacardiaceae,11,1.7
baviaanskloof,Asparagaceae,10,1.6
baviaanskloof,Asphodelaceae,10,1.6
baviaanskloof,Polygalaceae,10,1.6
baviaanskloof,Scrophulariaceae,10,1.6
baviaanskloof,Sapindaceae,9,1.4
baviaanskloof,Rosaceae,8,1.3
baviaanskloof,Rubiaceae,8,1.3
baviaanskloof,Boraginaceae,7,1.1
baviaanskloof,Didiereaceae,7,1.1
baviaanskloof,Ebenaceae,7,1.1
baviaanskloof,Iridaceae,6,1
baviaanskloof,Celastraceae,5,0.8
baviaanskloof,Acanthaceae,4,0.6
baviaanskloof,Apocynaceae,4,0.6
baviaanskloof,Bruniaceae,4,0.6
baviaanskloof,Apiaceae,3,0.5
baviaanskloof,Araliaceae,3,0.5
baviaanskloof,Commelinaceae,3,0.5
baviaanskloof,Lobeliaceae,3,0.5
baviaanskloof,Pteridaceae,3,0.5
baviaanskloof,Zygophyllaceae,3,0.5
baviaanskloof,Campanulaceae,2,0.3
baviaanskloof,Gentianaceae,2,0.3
baviaanskloof,Lamiaceae,2,0.3
baviaanskloof,Meliaceae,2,0.3
baviaanskloof,Montiniaceae,2,0.3
baviaanskloof,Oleaceae,2,0.3
baviaanskloof,Plumbaginaceae,2,0.3
baviaanskloof,Ranunculaceae,2,0.3
baviaanskloof,Rhamnaceae,2,0.3
baviaanskloof,Salvadoraceae,2,0.3
baviaanskloof,Solanaceae,2,0.3
baviaanskloof,Verbenaceae,2,0.3
baviaanskloof,Vitaceae,2,0.3
baviaanskloof,Brassicaceae,1,0.2
baviaanskloof,Capparaceae,1,0.2
baviaanskloof,Cucurbitaceae,1,0.2
baviaanskloof,Dipsacaceae,1,0.2
baviaanskloof,Menispermaceae,1,0.2
baviaanskloof,Myricaceae,1,0.2
baviaanskloof,Penaeaceae,1,0.2
baviaanskloof,Pittosporaceae,1,0.2
baviaanskloof,Tecophilaeaceae,1,0.2
cape_point,Asteraceae,67,13.1
cape_point,Restionaceae,61,11.9
cape_point,Ericaceae,59,11.5
cape_point,Cyperaceae,51,9.9
cape_point,Proteaceae,34,6.6
cape_point,Fabaceae,23,4.5
cape_point,Rutaceae,17,3.3
cape_point,Thymelaeaceae,15,2.9
cape_point,Aizoaceae,13,2.5
cape_point,Santalaceae,12,2.3
cape_point,Poaceae,10,1.9
cape_point,Apiaceae,9,1.8
cape_point,Polygalaceae,9,1.8
cape_point,Rosaceae,9,1.8
cape_point,Campanulaceae,8,1.6
cape_point,Geraniaceae,8,1.6
cape_point,Lobeliaceae,8,1.6
cape_point,Bruniaceae,7,1.4
cape_point,Euphorbiaceae,7,1.4
cape_point,Iridaceae,7,1.4
cape_point,Penaeaceae,7,1.4
cape_point,Asphodelaceae,6,1.2
cape_point,Haemodoraceae,5,1
cape_point,Rubiaceae,5,1
cape_point,Anacardiaceae,4,0.8
cape_point,Celastraceae,4,0.8
cape_point,Ebenaceae,4,0.8
cape_point,Zygophyllaceae,4,0.8
cape_point,Asparagaceae,3,0.6
cape_point,Crassulaceae,3,0.6
cape_point,Droseraceae,3,0.6
cape_point,Gentianaceae,3,0.6
cape_point,Myricaceae,3,0.6
cape_point,Rhamnaceae,3,0.6
cape_point,Amaranthaceae,2,0.4
cape_point,Lauraceae,2,0.4
cape_point,Malvaceae,2,0.4
cape_point,Schizaeaceae,2,0.4
cape_point,Stilbaceae,2,0.4
cape_point,Araceae,1,0.2
cape_point,Araliaceae,1,0.2
cape_point,Boraginaceae,1,0.2
cape_point,Cucurbitaceae,1,0.2
cape_point,Dipsacaceae,1,0.2
cape_point,Haloragaceae,1,0.2
cape_point,Juncaceae,1,0.2
cape_point,Myrsinaceae,1,0.2
cape_point,Oleaceae,1,0.2
cape_point,Plumbaginaceae,1,0.2
cape_point,Sapotaceae,1,0.2
cape_point,Scrophulariaceae,1,0.2
cederberg,Asteraceae,36,14.9
cederberg,Restionaceae,30,12.4
cederberg,Proteaceae,18,7.5
cederberg,Poaceae,17,7.1
cederberg,Cyperaceae,15,6.2
cederberg,Fabaceae,15,6.2
cederberg,Aizoaceae,10,4.1
cederberg,Anacardiaceae,8,3.3
cederberg,Rutaceae,7,2.9
cederberg,Ericaceae,6,2.5
cederberg,Crassulaceae,5,2.1
cederberg,Ebenaceae,5,2.1
cederberg,Euphorbiaceae,5,2.1
cederberg,Geraniaceae,5,2.1
cederberg,Thymelaeaceae,5,2.1
cederberg,Iridaceae,4,1.7
cederberg,Scrophulariaceae,4,1.7
cederberg,Celastraceae,3,1.2
cederberg,Polygalaceae,3,1.2
cederberg,Rhamnaceae,3,1.2
cederberg,Rosaceae,3,1.2
cederberg,Santalaceae,3,1.2
cederberg,Apiaceae,2,0.8
cederberg,Apocynaceae,2,0.8
cederberg,Asparagaceae,2,0.8
cederberg,Boraginaceae,2,0.8
cederberg,Campanulaceae,2,0.8
cederberg,Rubiaceae,2,0.8
cederberg,Bruniaceae,1,0.4
cederberg,Cupressaceae,1,0.4
cederberg,Dennstaedtiaceae,1,0.4
cederberg,Dipsacaceae,1,0.4
cederberg,Gentianaceae,1,0.4
cederberg,Haemodoraceae,1,0.4
cederberg,Lamiaceae,1,0.4
cederberg,Melianthaceae,1,0.4
cederberg,Molluginaceae,1,0.4
cederberg,Montiniaceae,1,0.4
cederberg,Myricaceae,1,0.4
cederberg,Myrsinaceae,1,0.4
cederberg,Myrtaceae,1,0.4
cederberg,Oleaceae,1,0.4
cederberg,Podocarpaceae,1,0.4
cederberg,Pteridaceae,1,0.4
cederberg,Sapindaceae,1,0.4
cederberg,Solanaceae,1,0.4
cederberg,Thurniaceae,1,0.4
hangklip,Restionaceae,51,19.2
hangklip,Asteraceae,31,11.7
hangklip,Ericaceae,30,11.3
hangklip,Cyperaceae,19,7.1
hangklip,Proteaceae,17,6.4
hangklip,Poaceae,10,3.8
hangklip,Fabaceae,9,3.4
hangklip,Thymelaeaceae,6,2.3
hangklip,Bruniaceae,5,1.9
hangklip,Celastraceae,5,1.9
hangklip,Rutaceae,5,1.9
hangklip,Anacardiaceae,4,1.5
hangklip,Apiaceae,4,1.5
hangklip,Campanulaceae,4,1.5
hangklip,Rosaceae,4,1.5
hangklip,Rubiaceae,4,1.5
hangklip,Stilbaceae,4,1.5
hangklip,Euphorbiaceae,3,1.1
hangklip,Iridaceae,3,1.1
hangklip,Lobeliaceae,3,1.1
hangklip,Myricaceae,3,1.1
hangklip,Penaeaceae,3,1.1
hangklip,Santalaceae,3,1.1
hangklip,Asparagaceae,2,0.8
hangklip,Cunoniaceae,2,0.8
hangklip,Ebenaceae,2,0.8
hangklip,Grubbiaceae,2,0.8
hangklip,Myrsinaceae,2,0.8
hangklip,Scrophulariaceae,2,0.8
hangklip,Achariaceae,1,0.4
hangklip,Agapanthaceae,1,0.4
hangklip,Aizoaceae,1,0.4
hangklip,Crassulaceae,1,0.4
hangklip,Cupressaceae,1,0.4
hangklip,Curtisiaceae,1,0.4
hangklip,Dennstaedtiaceae,1,0.4
hangklip,Droseraceae,1,0.4
hangklip,Dryopteridaceae,1,0.4
hangklip,Gentianaceae,1,0.4
hangklip,Geraniaceae,1,0.4
hangklip,Gleicheniaceae,1,0.4
hangklip,Haemodoraceae,1,0.4
hangklip,Lamiaceae,1,0.4
hangklip,Lanariaceae,1,0.4
hangklip,Menyanthaceae,1,0.4
hangklip,Myrtaceae,1,0.4
hangklip,Oleaceae,1,0.4
hangklip,Osmundaceae,1,0.4
hangklip,Podocarpaceae,1,0.4
hangklip,Ranunculaceae,1,0.4
hangklip,Rhamnaceae,1,0.4
hangklip,Schizaeaceae,1,0.4
hangklip,Zygophyllaceae,1,0.4
htr,Asteraceae,156,33.3
htr,Aizoaceae,56,11.9
htr,Poaceae,31,6.6
htr,Geraniaceae,19,4.1
htr,Iridaceae,19,4.1
htr,Scrophulariaceae,16,3.4
htr,Restionaceae,12,2.6
htr,Asphodelaceae,10,2.1
htr,Crassulaceae,10,2.1
htr,Oxalidaceae,10,2.1
htr,Fabaceae,9,1.9
htr,Asparagaceae,8,1.7
htr,Anacardiaceae,7,1.5
htr,Malvaceae,7,1.5
htr,Polygalaceae,7,1.5
htr,Amaranthaceae,6,1.3
htr,Cyperaceae,6,1.3
htr,Hyacinthaceae,6,1.3
htr,Proteaceae,6,1.3
htr,Santalaceae,5,1.1
htr,Solanaceae,5,1.1
htr,Thymelaeaceae,5,1.1
htr,Brassicaceae,4,0.9
htr,Rubiaceae,4,0.9
htr,Amaryllidaceae,3,0.6
htr,Apocynaceae,3,0.6
htr,Colchicaceae,3,0.6
htr,Ebenaceae,3,0.6
htr,Lamiaceae,3,0.6
htr,Molluginaceae,3,0.6
htr,Apiaceae,2,0.4
htr,Ericaceae,2,0.4
htr,Euphorbiaceae,2,0.4
htr,Lobeliaceae,2,0.4
htr,Montiniaceae,2,0.4
htr,Orchidaceae,2,0.4
