genus,species_epithet,stage,field,raw,infra_rank,infra_epithet,expected_infra_rank,expected_infra_epithet
Atriplex,cinerea,raw_input,genus_species_GM,Atriplex cinerea subsp bolusii,subsp,bolusii,subsp.,bolusii
Atriplex,cinerea,wf2_output,genus_species_GM,Atriplex cinerea subsp. bolusii,subsp,bolusii,subsp.,bolusii
Atriplex,cinerea,wf3_output,scientific_name_MG,Atriplex cinerea subsp. bolusii,subsp,bolusii,subsp.,bolusii
Atriplex,cinerea,wf3_output,scientific_name_original,Atriplex cinerea,NA,NA,subsp.,bolusii
Atriplex,cinerea,raw_input,species,Atriplex cinerea,NA,NA,subsp.,bolusii
Atriplex,cinerea,wf2_output,species,Atriplex cinerea,NA,NA,subsp.,bolusii
Babiana,sambucina,raw_input,genus_species_GM,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,raw_input,genus_species_GM,Babiana sambucina var longibracteata,var,longibracteata,var.,longibracteata
Babiana,sambucina,wf2_output,genus_species_GM,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,wf2_output,genus_species_GM,Babiana sambucina var. longibracteata,var,longibracteata,var.,longibracteata
Babiana,sambucina,wf3_output,scientific_name_MG,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,wf3_output,scientific_name_MG,Babiana sambucina var. longibracteata,var,longibracteata,var.,longibracteata
Babiana,sambucina,wf3_output,scientific_name_original,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,wf3_output,scientific_name_original,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,raw_input,species,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,raw_input,species,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,wf2_output,species,Babiana sambucina,NA,NA,var.,longibracteata
Babiana,sambucina,wf2_output,species,Babiana sambucina,NA,NA,var.,longibracteata
Ehrharta,ramosa,raw_input,genus_species_GM,Ehrharta ramosa,NA,NA,subsp.,ramosa
