"species","genus_species_GM","family_GM","family_POSA","family_ITIS","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","functional_twig","plant_longevity","flammability","pollination","dispersal","GM_description"
"Abutilon sonneratianum","Abutilon sonneratianum","MALVACEAE","MALVACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan","","",200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,1,0,3.966666667,0,0,"leaf","0",2,"l","i","w","Velvety shrubby perennial to 2 m. Leaves heart-shaped, obscurely lobed, toothed or crenate, pale beneath. Flowers on long axillary pedicels, pink to yellow or orange. Nov.--Jan. Forest margins and bush, esp. disturbed places, SW, AP, KM, LB, SE (Bredasdorp and Little Karoo to Zimbabwe)."
"Acacia cyclops","Acacia cyclops","FABACEAE","FABACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","May","","",400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Phyllode",0,0,1,0,0,0,NA,0,0,"leaf","",3,"h","i","m","Shrub or tree to 4 m. Phyllodes oblong, with 3--7 longitudinal veins. Flowers in globose heads, yellow. Pods flat, undulate or twisted, not constricted between the seeds. Seeds black, with prominent fleshy red aril. Oct.--May. Mountain and lowland fynbos, coastal dunes, SW, AP, LB, SE (Australian weed)."
"Acacia mearnsii","Acacia mearnsii","FABACEAE","FABACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov","","",1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Leaf",0,0,0,1,0,0,NA,0,0,"leaf","",3,"h","i","m","Tree to 15 m. Leaves bipinnate, dark green, with numerous raised glands on midvein. Flowers in globose heads, yellow. Pods flat, constricted between the seeds. Aug.--Nov. Watercourses, forests, roadsides, NW, SW, AP, KM, LB, SE (Australian weed)."
"Acacia saligna","Acacia saligna","FABACEAE","FABACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Oct","","",600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Phyllode",0,1,1,0,0,0,NA,0,0,"leaf","",3,"m","i","m","Resprouting shrub to 6 m. Phyllodes oblong-lanceolate, with 1 central longitudinal vein. Flowers in globose heads, yellow. Pods flat, constricted between the seeds. Aug.--Oct. Coastal and lowland fynbos, NW, SW, AP, LB, SE (Australian weed)."
"Acalypha glabrata","Acalypha glabrata","EUPHORBIACEAE","EUPHORBIACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec","","",500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",3,"m","i","i","Monoecious, scrambling shrub or tall tree to 5 m, bark velvety on the young parts. Leaves long petioled, ovate, toothed, finely hairy when young. Flowers in bisexual axillary spikes, female 1--2 at the base. Mainly Oct.--Dec. Forest and bush, often along streams, SE (Vanstaden's Mts to E Zimbabwe)."
"Acmadenia latifolia","Acmadenia latifolia","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec","","",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,1.32,0,0,"leaf","",2,"h","i","p","Like A. trigona but leaves suborbicular and petal claws sparsely hairy. Mainly Oct.--Dec. N-facing sandstone slopes, LB (Langeberg Mts: Riversdale)."
"Acmadenia nivea","Acmadenia nivea","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Mar","Aug","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Slender, sparsely branched, single-stemmed shrublet to 30 cm. Leaves lanceolate, erect, margins translucent. Flowers in terminal clusters, white, ovary 3- or 4-carpellate. Mar.--Aug. High, rocky slopes, SW (Hottentots Holland Mts and Kogelberg)."
"Acmadenia nivenii","Acmadenia nivenii","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Dec","","",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,1,0,0,0,0.644,0,0,"leaf","",2,"h","i","p","Like A. sheilae but leaves sessile, adpressed-erect, linear-elliptic, crisped-ciliate. Sept.--Dec. Sandstone slopes, LB (Langeberg Mts: Riversdale)."
"Acmadenia tetragona","Acmadenia tetragona","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jul","Nov","","",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Like A. sheilae but leaves folded, sub-orbicular, strongly keeled. Mainly July--Nov. Sandstone slopes, LB, SE (Langeberg Mts: Cloete's Pass to Robinson's Pass)."
"Acmadenia trigona","Acmadenia trigona","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov","","",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,1.132,0,0,"leaf","",2,"h","i","p","Closely leafy, sprawling aromatic shrublet to 40 cm. Leaves opposite and decussate, subimbricate or distant, linear-lanceolate, acute. Flowers solitary, terminal, pink, petal claws glabrous. Mainly Sept.--Nov. Dry N-facing sandstone slopes, LB (Langeberg Mts: Riversdale)."
"Acrolophia barbata","Acrolophia barbata","ORCHIDACEAE","ORCHIDACEAE","",1,0,"Perennial",1,0,1,0,1,1,0,1,0,"Nov","Dec","","",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p","Robust rhizomatous geophyte to 1 m. Leaves linear, channelled, leathery. Flowers few to many in a dense raceme, white or pale rose, c. 12 mm long, lip oblanceolate, 3-lobed, with 5 rows of papillae, spur 3 mm long. Nov.--Dec. Sandstone slopes, LB, SE (Swellendam to Humansdorp)."
"Acrolophia capensis","Acrolophia capensis","ORCHIDACEAE","ORCHIDACEAE","",1,0,"Perennial",1,0,1,0,1,1,0,1,0,"Dec","Jan","","",80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p","Robust geophyte to 80 cm, with short rhizome. Leaves linear, channelled, leathery. Flowers in a lax, branched raceme, c. 10--15 mm long, green to purplish brown, lip white with purple callus and side lobes, narrowly obovate, 3-lobed, with 5--7 rows of papillae, spur 1.5--2.5 mm long, anther cap with 2 prominent lateral horns. Dec.--Jan. Rocky outcrops and slopes, NW, SW, AP, KM, LB, SE (Ceres to Grahamstown)."
"Acrosanthes angustifolia","Acrosanthes angustifolia","AIZOACEAE","AIZOACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Dec","","",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,NA,0,0,"leaf","",2,"l","i","p","Like A. anceps but leaves to 1 cm. Nov.--Dec. Sandstone slopes, NW (Pakhuis Mts to Worcester)."
"Adenandra brachyphylla","Adenandra brachyphylla","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jul","Nov","","",80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Closely leafy, diffuse, aromatic shrub to 80 cm. Leaves spreading above, occ. imbricate, broadly ovate, cordate at the base, margins thickened. Flowers shortly pedicellate, 2--4 in lax sub-umbels, white, pink to red outside. July--Nov. Rocky, sandstone slopes, SW (Sir Lowry's Pass to Kleinrivier Mts)."
"Adenandra fragrans","Adenandra fragrans","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov","","",120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,2.52,0,0,"leaf","",2,"h","i","p","Densely leafy shrub occ. to 1.2 m. Leaves ascending, loosely imbricate, oblong, margins obscurely crenate, lightly thickened and revolute, heavily gland-dotted beneath. Flowers 4--18 in loose, resinous umbels, white, pink outside. Mainly Sept.--Nov. Sandstone slopes, LB (Langeberg Mts)."
"Adenandra mundiifolia","Adenandra mundiifolia","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov","","",70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",2,"h","i","p","Sparsely leafy, aromatic shrublet to 70 cm. Leaves spreading, oblong to elliptic, margins thickened, lightly revolute. Flowers 2--6, in dense, resinous umbels, white, pink outside. Aug.--Nov. Sandstone slopes, SW, LB (Riviersonderend and Langeberg Mts)."
