"x"
"Erica eburnea (more likely subcapitata)"
"Phylica imberbis"
"Muraltia thunbergii"
"Phylica ericoides"
"Muraltia rosmarinifolia"
"Phylica buxifolia"
"Plot70sp1"
"Phylica parviflora"
"Restio sarocladus"
"Searsia lucens"
"Muraltia ericaefolia"
"Zygophyllum pygmaeum"
"Ehrharta ramosa subsp ramosa"
"Babiana sambucina var longibracteata"
"Corymbium africanum subsp scabridum"
"Albuca sp."
"Struthiola ciliata subsp incana"
"Tetragonia microptera"
"Helichrysum sp1"
"Phylica lasiocarpa"
"Tetraria microstachus"
"Ficinia sp 1100"
"Diospyros scabrida"
"Helichrysum species"
"Phylica debilis"
"Phylica paniculata"
"Boscia oleoides"
"Phylica humilis"
"Phylica pinea"
"Phylica purpurea"
"Tetraria cf.crassa"
"Thesium sp."
"Erica sp."
"Epischoenus cf. cernua"
"Zygophyllum retrofractum"
"Ornithogalum tanquanum"
"Eriocephalus spinescens"
"Sarcocaulon crassicaule"
"Lotononis falcata (form C)"
"Ruschia sp"
"Drosanthemum sp"
"Trichodiadema pomeridianum"
"Cassytha filiformis"
"Pelargonium sp 106"
"Pentaschistis species"
"Agathosma mundtii"
"Lantana rugosa"
"Erica passerinaee"
"Atriplex cinerea subsp bolusii"
"Eriocephalus ericoides subsp ericoides"
"Ursinia nana subsp nana"
"Aridaria noctiflora"
"Osteospermum incanum subsp incanum"
"Babiana truncata"
"Dodonaea viscosa var. angustifolia"
"Conyza scabrida"
"Cotula sororia"
"Tetraria burmannii"
"Phylica lachneaeoides"
"Pentaschistis sp"
"Lobostemon sp"
"Phylica villosa"
"Phylica rigidifolia"
"Sutherlandia frutescens"
"Zygophyllum foetidum"
"Euphorbia decussata"
"Arctotis sp"
"Ruschia muelleri"
"Bulbine nutans"
"Antimima sp"
"Ruschia sp."
"Pelargonium sp"
"Eriocephalus microphyllus var microphyllus"
"Zygophyllum lichtensteinianum"
"Salsola zeyheri"
"Oxalis massoniana var massoniana"
"Prenia pallens"
"Pelargonium cf polycephalum"
"Monoculus monstrosus"
"Silene clandestina"
"Thesium ericaefolium"
"Pelargonium odoratissimim"
"Enneapogon scoparius"
"Amphithalea Species"
"Tetraria Species"
"Ruschia species"
